rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
1,1,00:00:06,186,0,1,14,1,long service,0.0,0,1.0,3,1.175609756097561,1.6610416666666663,,,8,159.5,340.06,8,216.0,698.9,1,15,1170
1,2,00:00:08,244,0,1,2,2,drop,0.0,0,2.0,6,0.9878048780487804,-0.6995833333333333,,,3,259.1,771.57,8,189.7,271.37,1,15,1170
1,3,00:00:08,264,0,1,14,2,lob,0.0,1,1.0,3,1.1878048780487802,1.61125,,,8,220.5,318.94,8,222.1,718.17,1,15,1170
1,4,00:00:09,299,0,1,2,2,drop,0.0,0,2.0,1,-1.348780487804878,-0.3281770833333333,,,9,243.0,758.59,8,196.9,285.59,1,15,1170
1,5,00:00:11,331,0,1,14,2,lob,0.0,0,1.0,4,-1.0670731707317074,1.5553125,,,8,104.7,350.32,8,175.5,671.88,1,15,1170
1,6,00:00:12,366,0,1,2,2,drop,0.0,0,2.0,1,-1.0560975609756096,-0.1614583333333333,,,8,110.5,749.03,8,136.1,299.1,1,15,1170
1,7,00:00:13,394,0,1,14,2,net shot,0.0,0,2.0,2,-1.079268292682927,0.1896875000000001,,,5,104.0,345.03,8,143.3,707.85,1,15,1170
1,8,00:00:14,424,0,1,2,2,lob,0.0,1,1.0,8,0.8402439024390245,-1.0464583333333335,,,2,103.8,529.95,7,132.3,379.07,1,15,1170
1,9,00:00:16,480,0,1,14,2,smash,0.0,0,2.0,5,1.0182926829268293,1.0761458333333334,,,8,235.3,228.06,8,194.7,673.69,1,15,1170
1,10,00:00:16,493,0,1,2,3,defensive shot,0.0,0,2.0,7,-0.0999999999999998,0.1204166666666666,touched the net,2.0,8,221.3,686.38,8,245.7,280.32,1,15,1170
1,1,00:17:36,31688,0,1,14,1,long service,0.0,0,1.0,9,-0.2353658536585367,-1.5513020833333335,,,8,194.8,620.73,8,133.7,212.14,2,15,1206
1,2,00:17:38,31748,0,1,2,2,clear,0.0,0,1.0,3,1.2170731707317075,1.6609895833333332,,,9,151.7,187.84,8,184.7,671.87,2,15,1206
1,3,00:17:39,31782,0,1,14,2,smash,0.0,0,2.0,6,1.0963414634146338,-1.0306770833333332,,,3,255.3,761.84,8,178.8,282.63,2,15,1206
1,4,00:17:39,31797,0,1,2,2,defensive shot,0.0,1,2.0,7,0.2853658536585367,0.3176041666666667,,,8,176.0,274.11,3,261.8,760.18,2,15,1206
1,5,00:17:40,31826,0,1,14,2,net shot,0.0,0,2.0,2,1.1475609756097565,-0.1699479166666666,,,7,183.3,576.62,8,184.5,296.68,2,15,1206
1,6,00:17:42,31860,0,1,2,2,lob,0.0,1,1.0,3,1.3731707317073174,1.5942187500000002,,,7,248.3,377.16,8,186.8,626.57,2,15,1206
1,7,00:17:43,31894,0,1,14,2,clear,0.0,0,1.0,6,1.340243902439024,-1.2731770833333331,,,5,256.0,740.27,8,205.6,313.38,2,15,1206
1,8,00:17:44,31923,0,1,2,2,clear,1.0,0,1.0,5,1.0463414634146342,1.4232291666666663,,,8,232.1,260.24,8,219.4,705.96,2,15,1206
1,9,00:17:45,31956,0,1,14,3,smash,0.0,0,2.0,6,1.4085365853658536,-1.3041666666666667,opponent's ball landed,2.0,8,246.8,730.14,8,174.8,221.55,2,15,1206
1,1,00:41:18,74366,0,1,2,1,long service,0.0,0,1.0,3,-1.0292682926829269,-1.5057291666666668,,,8,186.2,649.53,8,117.3,273.64,3,15,1245
1,2,00:41:20,74422,0,1,14,2,drop,0.0,0,2.0,7,-0.828048780487805,0.6238541666666665,,,3,95.5,181.07,8,179.2,662.64,3,15,1245
1,3,00:41:21,74443,0,1,2,2,net shot,0.0,1,2.0,7,-0.3341463414634147,-0.2105729166666667,,,8,130.1,636.23,8,132.7,247.8,3,15,1245
