rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
19,1,00:19:39,35378,11,8,2,1,short service,0.0,1,2.0,7,-0.4390243902439024,0.5790624999999997,,,8,182.2,329.58,8,133.8,685.44,1,28,2281
19,2,00:19:40,35408,11,8,23,2,push/rush,0.0,1,1.0,5,-1.0426829268292683,-1.3218229166666666,,,8,160.3,616.41,8,173.7,320.5,1,28,2281
19,3,00:19:41,35440,11,8,2,2,drive,0.0,0,2.0,6,-1.1073170731707316,0.9684375000000004,,,8,114.9,247.27,8,162.4,661.19,1,28,2281
19,4,00:19:41,35456,11,8,23,2,defensive shot,0.0,1,1.0,6,0.951219512195122,-1.16546875,,,8,137.9,673.32,8,127.7,267.0,1,28,2281
19,5,00:19:42,35486,11,8,2,3,clear,1.0,0,2.0,10,2.0121951219512195,1.5439062499999998,out,2.0,8,202.1,287.34,8,169.3,692.73,1,28,2281
19,1,00:42:27,76428,7,12,23,1,short service,0.0,1,2.0,7,0.6317073170731708,0.6068229166666667,,,8,161.2,338.04,8,218.1,679.59,2,28,2320
19,2,00:42:28,76441,7,12,2,2,push/rush,0.0,1,2.0,9,-0.852439024390244,-1.3923437500000002,,,8,239.0,630.86,8,170.0,317.44,2,28,2320
19,3,00:42:29,76476,7,12,23,2,drop,0.0,0,1.0,2,-1.1378048780487804,0.4434895833333332,,,8,123.9,230.82,8,171.4,670.22,2,28,2320
19,4,00:42:30,76504,7,12,2,2,net shot,0.0,1,2.0,1,-1.1121951219512196,-0.2602604166666668,,,6,95.8,607.74,8,136.4,241.07,2,28,2320
19,5,00:42:31,76531,7,12,23,2,net shot,0.0,0,1.0,7,0.0707317073170733,0.2319791666666667,,,1,83.4,376.58,8,112.4,615.76,2,28,2320
19,6,00:42:31,76553,7,12,2,3,push/rush,0.0,0,2.0,8,-0.7646341463414634,-0.6457291666666668,opponent's ball landed,2.0,7,166.3,584.71,1,74.5,398.29,2,28,2320
19,1,01:02:08,111857,13,6,2,1,short service,0.0,1,2.0,7,0.3609756097560975,-0.4031249999999999,,,8,162.2,650.31,8,212.0,315.16,3,28,2354
19,2,01:02:09,111878,13,6,23,2,push/rush,0.0,0,1.0,5,1.218292682926829,1.3875,,,7,222.3,378.91,8,173.7,661.33,3,28,2354
19,3,01:02:10,111907,13,6,2,2,drop,0.0,0,2.0,1,-1.1926829268292682,-0.3296875000000001,,,5,264.0,755.0,8,187.7,317.75,3,28,2354
19,4,01:02:11,111936,13,6,23,2,lob,0.0,0,1.0,6,-1.2573170731707315,1.32484375,,,7,110.5,393.48,8,195.5,708.16,3,28,2354
19,5,01:02:12,111962,13,6,2,2,clear,1.0,0,1.0,8,0.2073170731707317,-1.2761979166666666,,,8,119.1,720.32,7,123.3,366.08,3,28,2354
19,6,01:02:13,111995,13,6,23,2,smash,1.0,0,2.0,6,-1.1073170731707316,0.9684375000000004,,,8,154.4,251.28,8,151.6,715.84,3,28,2354
19,7,01:02:13,112011,13,6,2,2,defensive shot,0.0,1,2.0,1,-1.396341463414634,-0.2621874999999998,,,8,198.6,686.26,8,163.1,238.24,3,28,2354
19,8,01:02:14,112043,13,6,23,2,net shot,0.0,0,2.0,2,-1.0731707317073171,0.3418229166666666,,,1,84.8,406.49,8,143.6,660.95,3,28,2354
19,9,01:02:15,112073,13,6,2,3,net shot,0.0,1,2.0,7,-0.7841463414634146,0.2620833333333336,not pass over the net,2.0,2,101.5,565.17,7,121.8,428.05,3,28,2354
