rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
32,1,00:23:55,43058,16,16,2,1,long service,0.0,0,1.0,3,0.9914634146341464,1.5938020833333333,,,8,163.1,316.97,8,239.7,726.05,1,53,4523
32,2,00:23:56,43102,16,16,8,2,clear,0.0,0,1.0,3,-0.9902439024390244,-1.4652083333333332,,,3,253.8,781.43,8,166.3,296.28,1,53,4523
32,3,00:23:57,43136,16,16,2,2,drop,0.0,0,1.0,2,-1.054878048780488,0.4275520833333335,,,9,107.3,194.8,8,185.4,675.03,1,53,4523
32,4,00:23:58,43160,16,16,8,2,net shot,0.0,1,2.0,1,-0.9804878048780488,-0.1651562499999999,,,2,101.8,580.56,8,145.6,235.99,1,53,4523
32,5,00:23:59,43189,16,16,2,2,lob,0.0,0,1.0,9,0.5963414634146342,1.5783854166666664,,,7,112.1,433.06,7,141.8,575.43,1,53,4523
32,6,00:24:01,43259,16,16,8,2,smash,0.0,0,2.0,5,-1.404878048780488,-0.9826041666666668,,,8,209.0,741.39,8,140.3,255.85,1,53,4523
32,7,00:24:02,43270,16,16,2,3,defensive shot,0.0,0,2.0,1,-1.2878048780487803,-0.0993749999999999,touched the net,2.0,8,141.0,275.1,8,198.5,699.48,1,53,4523
32,1,00:52:29,94483,16,16,8,1,short service,0.0,1,2.0,8,-0.3756097560975611,0.7289062500000002,,,8,181.8,319.38,8,128.1,668.74,2,53,4560
32,2,00:52:30,94505,16,16,2,2,lob,0.0,1,1.0,3,-1.2121951219512197,-1.5131770833333331,,,8,149.7,609.96,8,178.3,314.32,2,53,4560
32,3,00:52:31,94543,16,16,8,2,clear,0.0,0,1.0,3,0.9792682926829268,1.5771875000000002,,,3,100.1,188.72,8,172.8,663.02,2,53,4560
32,4,00:52:32,94581,16,16,2,2,drive,0.0,0,2.0,6,1.1792682926829268,-0.6808333333333335,,,9,241.3,764.54,8,168.7,266.73,2,53,4560
32,5,00:52:33,94606,16,16,8,2,push/rush,0.0,1,1.0,5,1.4573170731707317,1.4790104166666669,,,8,241.2,334.01,8,205.6,689.26,2,53,4560
32,6,00:52:34,94635,16,16,2,3,drive,0.0,0,2.0,1,1.3073170731707315,0.1786458333333334,touched the net,2.0,5,254.9,752.36,8,194.5,285.5,2,53,4560
