rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
14,1,00:16:59,30582,6,8,14,1,long service,0.0,0,1.0,9,-0.8414634146341463,-1.4458854166666668,,,8,191.4,615.6,8,132.5,261.99,1,31,2518
14,2,00:17:01,30646,6,8,2,2,drop,0.0,0,2.0,5,1.017073170731707,0.7514583333333332,,,9,122.6,157.82,8,173.6,668.25,1,31,2518
14,3,00:17:02,30666,6,8,14,2,lob,0.0,0,1.0,6,1.30609756097561,-1.12015625,,,8,232.0,630.69,8,135.8,230.16,1,31,2518
14,4,00:17:02,30688,6,8,2,2,clear,0.0,0,1.0,5,1.2451219512195124,1.5078125,,,8,195.5,266.26,8,224.3,657.77,1,31,2518
14,5,00:17:04,30723,6,8,14,2,clear,0.0,0,1.0,6,1.1890243902439024,-1.3006770833333332,,,3,254.4,775.41,8,197.3,306.88,1,31,2518
14,6,00:17:05,30755,6,8,2,2,drop,0.0,0,2.0,1,1.4841463414634144,0.4059375000000003,,,8,221.8,236.92,8,210.6,693.56,1,31,2518
14,7,00:17:06,30785,6,8,14,2,lob,0.0,0,1.0,6,1.1646341463414631,-1.2721875,,,1,269.1,567.83,8,222.5,231.55,1,31,2518
14,8,00:17:07,30819,6,8,2,2,smash,0.0,0,2.0,5,1.1292682926829272,1.0678645833333331,,,6,254.9,214.81,8,228.3,646.03,1,31,2518
14,9,00:17:07,30831,6,8,14,3,defensive shot,0.0,0,2.0,1,1.0463414634146342,0.1635937500000001,touched the net,14.0,8,225.3,669.27,8,239.9,236.65,1,31,2518
14,1,00:42:57,77316,10,4,14,1,long service,0.0,0,1.0,9,-0.3085365853658538,1.5603645833333335,,,8,184.0,336.45,8,120.0,714.9,2,31,2558
14,2,00:42:59,77379,10,4,2,2,clear,0.0,0,1.0,5,-1.026829268292683,-1.1881770833333334,,,9,138.0,765.28,8,161.6,271.94,2,31,2558
14,3,00:43:00,77406,10,4,14,2,smash,0.0,0,2.0,8,-0.6841463414634146,0.8775000000000001,,,5,102.1,225.26,8,174.5,684.42,2,31,2558
14,4,00:43:00,77418,10,4,2,2,defensive shot,0.0,1,2.0,7,-0.2182926829268293,-0.4451041666666666,,,8,194.0,666.37,5,76.7,228.34,2,31,2558
14,5,00:43:01,77445,10,4,14,2,net shot,0.0,0,2.0,7,-0.8048780487804879,0.3984895833333333,,,7,179.7,367.34,8,181.2,656.62,2,31,2558
14,6,00:43:02,77472,10,4,2,2,lob,0.0,1,1.0,4,1.3914634146341467,-1.4604166666666665,,,7,133.8,578.73,8,184.2,304.58,2,31,2558
14,7,00:43:03,77508,10,4,14,2,clear,1.0,0,1.0,5,1.229268292682927,1.3217708333333331,,,8,210.1,226.35,8,204.5,649.67,2,31,2558
14,8,00:43:05,77550,10,4,2,2,smash,0.0,0,2.0,5,-1.147560975609756,-0.7994270833333333,,,5,254.4,728.61,8,192.8,263.71,2,31,2558
14,9,00:43:05,77571,10,4,14,2,defensive shot,0.0,0,1.0,6,-1.0317073170731708,1.0447395833333335,,,8,114.5,310.55,8,228.9,693.34,2,31,2558
14,10,00:43:06,77591,10,4,2,2,smash,1.0,0,2.0,5,-0.901219512195122,-0.8657291666666668,,,8,151.8,686.29,8,124.0,297.94,2,31,2558
14,11,00:43:06,77604,10,4,14,2,defensive shot,0.0,0,1.0,8,0.901219512195122,1.0859375,,,8,131.8,282.63,8,139.3,695.97,2,31,2558
14,12,00:43:07,77621,10,4,2,3,drive,0.0,0,2.0,7,0.7487804878048782,0.1442708333333332,touched the net,14.0,8,180.2,685.96,8,156.7,279.72,2,31,2558
