rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
28,1,00:25:18,45546,16,12,14,1,long service,0.0,0,1.0,9,0.8268292682926831,1.5777604166666663,,,8,157.2,354.09,8,213.0,736.33,1,10,818
28,2,00:25:20,45611,16,12,2,2,drop,0.0,0,2.0,1,-1.2000000000000002,-0.2954687500000001,,,9,223.4,771.77,8,170.8,316.31,1,10,818
28,3,00:25:21,45640,16,12,14,2,lob,0.0,0,1.0,6,-1.0585365853658537,1.50578125,,,1,86.5,420.52,8,167.1,708.09,1,10,818
28,4,00:25:22,45672,16,12,2,2,smash,1.0,0,2.0,6,1.1658536585365855,-0.8120833333333334,,,9,114.7,766.93,8,129.6,349.04,1,10,818
28,5,00:25:23,45690,16,12,14,2,defensive shot,0.0,1,2.0,1,1.19390243902439,0.3768229166666668,,,8,217.0,341.41,4,103.2,776.52,1,10,818
28,6,00:25:23,45719,16,12,2,2,push/rush,0.0,0,1.0,6,1.3475609756097562,-1.0680729166666667,,,8,243.4,629.45,8,200.7,312.67,1,10,818
28,7,00:25:24,45740,16,12,14,2,drop,0.0,1,2.0,1,1.4243902439024392,0.3049999999999997,,,8,235.3,281.73,8,229.1,654.64,1,10,818
28,8,00:25:25,45767,16,12,2,2,lob,0.0,0,1.0,4,1.0585365853658537,-1.4394791666666666,,,5,278.6,613.04,8,215.1,276.05,1,10,818
28,9,00:25:26,45806,16,12,14,3,clear,1.0,0,2.0,10,1.6268292682926826,1.7954166666666669,out,14.0,8,224.4,221.65,8,213.5,689.76,1,10,818
28,1,00:48:00,86417,16,12,2,1,long service,0.0,0,1.0,8,-0.7926829268292683,1.4789062500000003,,,8,184.8,318.94,8,127.6,732.55,2,10,854
28,2,00:48:02,86462,16,12,14,2,smash,0.0,0,2.0,8,-0.0012195121951218,-0.9099479166666664,,,8,105.8,746.11,8,143.9,280.8,2,10,854
28,3,00:48:02,86474,16,12,2,2,defensive shot,0.0,1,2.0,7,-0.3670731707317072,0.4004687499999999,,,8,134.7,271.75,8,117.4,701.84,2,10,854
28,4,00:48:03,86495,16,12,14,2,push/rush,0.0,1,1.0,5,-1.197560975609756,-1.15765625,,,7,157.0,582.36,8,150.3,271.38,2,10,854
28,5,00:48:04,86520,16,12,2,2,clear,0.0,0,1.0,6,-1.2841463414634149,1.4563541666666666,,,8,110.0,253.5,8,147.0,625.15,2,10,854
28,6,00:48:05,86555,16,12,14,2,clear,1.0,0,1.0,3,-1.248780487804878,-1.4322916666666667,,,6,99.3,716.0,8,135.4,249.71,2,10,854
28,7,00:48:06,86588,16,12,2,2,clear,0.0,0,1.0,6,-1.1243902439024391,1.3602083333333332,,,3,88.0,198.39,8,144.9,678.18,2,10,854
28,8,00:48:07,86613,16,12,14,2,clear,1.0,0,1.0,3,-1.154878048780488,-1.415625,,,8,148.5,674.48,5,100.2,250.55,2,10,854
28,9,00:48:08,86650,16,12,2,2,clear,0.0,0,1.0,5,1.0829268292682928,1.3200000000000005,,,3,88.8,201.74,8,144.4,696.14,2,10,854
28,10,00:48:09,86679,16,12,14,2,clear,0.0,0,1.0,4,1.4670731707317075,-1.49734375,,,8,224.1,708.98,8,135.6,256.05,2,10,854
28,11,00:48:10,86722,16,12,2,2,drop,1.0,0,2.0,2,-1.1829268292682926,0.5421354166666669,,,4,256.6,194.15,8,204.0,686.32,2,10,854
28,12,00:48:11,86747,16,12,14,2,net shot,0.0,1,2.0,1,-1.1853658536585363,-0.0560416666666666,,,7,106.3,591.55,9,250.5,173.74,2,10,854
28,13,00:48:12,86779,16,12,2,2,net shot,0.0,0,2.0,2,-1.2341463414634146,0.1336458333333334,,,1,91.5,399.37,8,121.9,617.65,2,10,854
28,14,00:48:13,86811,16,12,14,3,net shot,0.0,1,2.0,7,-0.4195121951219513,0.1021875,not pass over the net,14.0,2,103.1,535.77,7,114.2,382.72,2,10,854
