rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
4,1,00:10:05,18173,1,3,14,1,long service,0.0,0,1.0,4,1.125609756097561,-1.54796875,,,8,169.2,614.27,8,228.1,247.23,1,36,2891
4,2,00:10:07,18235,1,3,16,2,drop,1.0,0,2.0,2,-1.1682926829268292,0.5401562500000002,,,4,257.6,173.5,8,194.7,678.55,1,36,2891
4,3,00:10:08,18259,1,3,14,2,defensive shot,0.0,1,2.0,1,-1.051219512195122,-0.3122395833333333,,,8,113.5,607.32,8,204.1,228.51,1,36,2891
4,4,00:10:09,18290,1,3,16,2,lob,0.0,0,1.0,4,-1.0341463414634149,1.6358333333333337,,,7,106.5,393.35,8,137.8,628.71,1,36,2891
4,5,00:10:10,18324,1,3,14,2,clear,1.0,0,1.0,3,-1.2573170731707315,-1.5218229166666666,,,4,102.1,760.4,8,135.1,331.41,1,36,2891
4,6,00:10:12,18362,1,3,16,2,clear,0.0,0,1.0,4,-0.9390243902439024,1.6189583333333335,,,3,85.0,195.0,8,143.4,683.12,1,36,2891
4,7,00:10:13,18396,1,3,14,2,clear,1.0,0,1.0,3,-1.0182926829268293,-1.5244791666666666,,,9,113.6,766.57,8,139.2,274.51,1,36,2891
4,8,00:10:14,18432,1,3,16,3,clear,0.0,0,2.0,4,-1.4585365853658536,1.7028645833333336,misjudged,14.0,3,93.7,194.78,8,157.9,704.18,1,36,2891
4,1,00:29:43,53514,3,1,14,1,long service,0.0,0,1.0,3,1.079268292682927,1.5796874999999997,,,8,160.2,348.0,8,236.0,709.72,2,36,2923
4,2,00:29:46,53584,3,1,16,2,clear,0.0,0,1.0,3,-1.0182926829268293,-1.382395833333333,,,3,255.9,775.13,8,182.9,285.73,2,36,2923
4,3,00:29:47,53617,3,1,14,2,smash,0.0,0,2.0,8,-0.7987804878048781,0.7101562500000002,,,5,94.9,208.19,8,184.9,698.42,2,36,2923
4,4,00:29:47,53636,3,1,16,2,defensive shot,0.0,1,1.0,9,-0.828048780487805,-1.5627604166666669,,,8,124.8,625.04,8,130.2,227.09,2,36,2923
4,5,00:29:49,53670,3,1,14,2,clear,0.0,0,1.0,5,1.3182926829268296,1.34875,,,9,113.5,187.48,8,165.6,653.17,2,36,2923
4,6,00:29:50,53706,3,1,16,3,clear,0.0,0,2.0,10,1.6,-1.6077604166666666,out,14.0,8,236.3,748.35,8,189.8,244.99,2,36,2923
