rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
5,1,00:10:57,19714,3,2,9,1,short service,0.0,1,2.0,8,0.4817073170731707,-0.5520833333333334,,,8,168.7,616.95,8,229.6,268.64,1,7,543
5,2,00:10:58,19740,3,2,10,2,lob,0.0,1,1.0,6,-1.1097560975609757,1.4923958333333331,,,8,215.4,319.54,8,167.3,629.66,1,7,543
5,3,00:10:59,19773,3,2,9,2,clear,1.0,0,1.0,3,-1.2658536585365854,-1.583125,,,9,106.2,756.41,8,161.8,272.75,1,7,543
5,4,00:11:00,19808,3,2,10,2,drop,0.0,0,2.0,1,1.047560975609756,0.5716145833333334,,,3,101.7,169.05,8,147.9,691.22,1,7,543
5,5,00:11:00,19826,3,2,9,2,push/rush,0.0,0,1.0,6,1.1585365853658536,-1.0828645833333337,,,8,191.1,666.8,9,112.7,183.06,1,7,543
5,6,00:11:01,19844,3,2,10,2,defensive shot,0.0,1,2.0,1,1.274390243902439,0.3256249999999999,,,8,205.9,270.84,8,207.4,650.36,1,7,543
5,7,00:11:02,19865,3,2,9,2,push/rush,0.0,0,1.0,3,-1.1353658536585365,-1.4953125,,,8,234.3,624.15,8,221.9,255.92,1,7,543
5,8,00:11:03,19899,3,2,10,2,drop,0.0,0,2.0,2,-1.2695121951219512,0.5946354166666664,,,8,117.4,204.89,8,176.7,642.28,1,7,543
5,9,00:11:03,19917,3,2,9,2,net shot,0.0,1,2.0,7,-0.1060975609756096,-0.4057291666666665,,,8,131.0,652.48,8,137.1,223.77,1,7,543
5,10,00:11:04,19941,3,2,10,2,lob,0.0,1,1.0,4,-1.2634146341463417,1.5455729166666667,,,8,136.5,330.25,8,143.8,660.22,1,7,543
5,11,00:11:05,19976,3,2,9,2,smash,1.0,0,2.0,5,-1.353658536585366,-0.9924479166666668,,,4,85.0,766.48,8,160.5,265.23,1,7,543
5,12,00:11:06,19997,3,2,10,2,net shot,0.0,0,2.0,7,0.848780487804878,0.3138541666666666,,,8,122.1,274.73,8,110.3,731.25,1,7,543
5,13,00:11:07,20020,3,2,9,2,net shot,0.0,0,2.0,1,-1.2402439024390244,-0.3781250000000001,,,8,195.8,637.86,8,151.6,255.0,1,7,543
5,14,00:11:08,20049,3,2,10,2,lob,0.0,0,1.0,4,-1.3097560975609757,1.5319270833333334,,,7,121.6,368.75,8,167.3,631.24,1,7,543
5,15,00:11:09,20088,3,2,9,2,clear,1.0,0,1.0,3,-1.195121951219512,-1.4669791666666665,,,4,81.8,760.01,8,145.9,284.92,1,7,543
5,16,00:11:10,20125,3,2,10,2,smash,0.0,0,2.0,8,-0.7707317073170732,1.035572916666667,,,3,92.6,185.55,8,151.5,706.91,1,7,543
5,17,00:11:11,20139,3,2,9,2,defensive shot,0.0,1,2.0,7,0.4426829268292684,-0.4941145833333333,,,8,155.6,699.89,3,63.1,160.11,1,7,543
5,18,00:11:12,20169,3,2,10,2,push/rush,0.0,1,1.0,4,-1.048780487804878,1.5600520833333331,,,8,188.3,304.9,8,165.7,676.87,1,7,543
5,19,00:11:13,20206,3,2,9,2,drop,0.0,1,2.0,5,-1.0207317073170732,-0.6073958333333334,,,8,131.7,752.81,8,170.5,260.32,1,7,543
5,20,00:11:14,20233,3,2,10,2,push/rush,0.0,0,1.0,4,-1.3719512195121952,1.5450520833333332,,,8,135.9,304.22,8,164.9,692.86,1,7,543
5,21,00:11:15,20266,3,2,9,2,clear,1.0,0,1.0,9,-0.8195121951219513,-1.5368750000000002,,,4,87.0,757.48,8,156.2,272.68,1,7,543
5,22,00:11:16,20308,3,2,10,3,smash,0.0,0,2.0,5,1.3841463414634143,1.123802083333333,opponent's ball landed,9.0,9,125.0,177.7,8,161.6,694.26,1,7,543
5,1,00:34:45,62559,0,5,10,1,long service,0.0,1,1.0,9,-0.7975609756097561,-1.5513020833333335,,,8,190.0,633.09,8,140.7,274.97,2,7,580
5,2,00:34:46,62593,0,5,9,2,drop,0.0,0,2.0,2,-1.3097560975609757,0.5055208333333331,,,9,122.9,196.86,8,170.0,669.53,2,7,580
5,3,00:34:47,62616,0,5,10,2,lob,0.0,1,1.0,3,-1.3634146341463411,-1.5836979166666667,,,8,114.0,662.86,8,139.4,239.45,2,7,580
5,4,00:34:48,62650,0,5,9,2,drive,0.0,0,2.0,6,-1.2353658536585366,1.064166666666667,,,9,114.7,202.16,8,136.4,670.6,2,7,580
