rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
16,1,00:14:24,25932,8,8,27,1,long service,0.0,0,1.0,9,0.746341463414634,-1.5016666666666667,,,8,167.7,660.87,8,228.0,255.28,1,41,3364
16,2,00:14:26,26003,8,8,29,2,smash,0.0,0,2.0,8,-0.5817073170731708,0.8004166666666664,,,9,225.0,162.6,8,196.4,679.54,1,41,3364
16,3,00:14:27,26022,8,8,27,2,defensive shot,0.0,1,1.0,8,0.8792682926829267,-1.2588541666666666,,,8,147.2,638.53,9,206.0,179.6,1,41,3364
16,4,00:14:28,26044,8,8,29,2,smash,1.0,0,2.0,5,1.3073170731707315,0.9566145833333332,,,8,199.8,220.58,8,187.4,664.55,1,41,3364
16,5,00:14:28,26058,8,8,27,2,defensive shot,0.0,0,1.0,6,1.218292682926829,-1.02046875,,,8,243.7,671.68,8,211.3,255.73,1,41,3364
16,6,00:14:29,26077,8,8,29,3,clear,0.0,1,2.0,10,1.6768292682926829,1.7472395833333334,out,27.0,8,220.9,278.05,8,240.0,656.32,1,41,3364
16,1,00:49:08,88462,11,5,29,1,long service,0.0,0,1.0,9,-0.7219512195121952,-1.5678124999999998,,,8,194.1,659.34,8,120.0,237.82,2,41,3414
16,2,00:49:10,88526,11,5,27,2,clear,0.0,0,1.0,6,-1.052439024390244,1.3524479166666663,,,9,106.9,172.84,8,179.5,638.21,2,41,3414
16,3,00:49:11,88552,11,5,29,2,drop,0.0,0,2.0,7,-0.774390243902439,-0.2908854166666668,,,8,143.8,675.02,8,136.4,222.38,2,41,3414
16,4,00:49:12,88580,11,5,27,2,lob,0.0,0,1.0,4,-1.130487804878049,1.51578125,,,7,115.5,384.1,8,135.7,683.71,2,41,3414
16,5,00:49:13,88613,11,5,29,2,smash,0.0,0,2.0,5,-1.1926829268292682,-1.0965104166666666,,,8,112.7,728.7,8,142.0,320.12,2,41,3414
16,6,00:49:14,88628,11,5,27,3,defensive shot,0.0,0,2.0,1,-1.2414634146341463,-0.06796875,touched the net,27.0,8,124.0,277.79,4,97.6,758.96,2,41,3414
