rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
4,1,00:11:59,21592,1,3,16,1,long service,0.0,0,1.0,4,1.3000000000000005,-1.4144270833333332,,,8,159.0,657.47,8,233.9,279.97,1,17,1359
4,2,00:12:01,21654,1,3,15,2,drop,0.0,0,2.0,1,1.0573170731707315,0.6600000000000001,,,4,278.3,177.6,8,198.6,681.4,1,17,1359
4,3,00:12:02,21675,1,3,16,2,net shot,0.0,0,2.0,2,0.9658536585365852,-0.1985416666666667,,,8,245.0,649.5,8,228.9,241.57,1,17,1359
4,4,00:12:03,21705,1,3,15,2,lob,0.0,0,1.0,3,1.1329268292682924,1.5436458333333334,,,7,219.4,405.77,8,198.9,643.46,1,17,1359
4,5,00:12:04,21742,1,3,16,2,clear,0.0,0,1.0,8,-0.8609756097560974,-1.216041666666667,,,9,239.7,783.33,8,199.3,308.42,1,17,1359
4,6,00:12:05,21776,1,3,15,2,smash,1.0,0,2.0,6,-1.2621951219512195,1.12125,,,8,134.6,266.67,8,180.8,715.72,1,17,1359
4,7,00:12:06,21792,1,3,16,2,defensive shot,0.0,1,2.0,1,-1.2097560975609756,-0.3283333333333334,,,8,174.0,699.7,8,134.0,264.66,1,17,1359
4,8,00:12:07,21819,1,3,15,2,push/rush,0.0,1,1.0,8,0.6524390243902439,1.3633333333333333,,,1,93.1,410.74,8,125.4,694.16,1,17,1359
4,9,00:12:08,21847,1,3,16,3,smash,0.0,0,2.0,10,1.6670731707317072,-1.2549479166666666,out,16.0,8,199.5,741.75,8,157.0,346.52,1,17,1359
4,1,00:37:14,67037,1,3,15,1,short service,0.0,0,2.0,7,-0.5634146341463413,-0.1245312500000001,,,8,183.7,666.39,8,122.5,268.49,2,17,1397
4,2,00:37:15,67061,1,3,16,2,net shot,0.0,0,2.0,7,0.5,0.3209895833333333,,,7,131.9,377.76,8,166.0,648.72,2,17,1397
4,3,00:37:16,67086,1,3,15,2,net shot,0.0,1,2.0,7,0.0426829268292682,-0.0651041666666666,,,7,173.2,561.33,8,162.1,351.95,2,17,1397
4,4,00:37:17,67110,1,3,16,2,lob,0.0,1,1.0,9,-0.2853658536585367,1.63015625,,,7,155.9,409.9,7,173.7,592.79,2,17,1397
4,5,00:37:18,67151,1,3,15,2,drop,0.0,0,1.0,7,0.0304878048780487,-0.0731250000000001,,,9,175.0,793.84,8,155.3,304.02,2,17,1397
4,6,00:37:19,67178,1,3,16,2,net shot,0.0,1,2.0,2,-1.076829268292683,0.34171875,,,7,166.4,401.8,8,170.0,718.56,2,17,1397
4,7,00:37:20,67202,1,3,15,2,net shot,0.0,0,2.0,2,1.202439024390244,-0.0991666666666667,,,7,108.0,584.69,8,164.4,332.13,2,17,1397
4,8,00:37:21,67231,1,3,16,2,lob,0.0,1,1.0,4,-0.8999999999999999,1.5778645833333336,,,7,237.0,410.92,8,167.4,624.9,2,17,1397
4,9,00:37:22,67274,1,3,15,2,clear,0.0,0,1.0,5,-1.2853658536585366,-1.2186458333333332,,,9,115.8,789.12,8,169.8,304.22,2,17,1397
4,10,00:37:23,67302,1,3,16,2,drop,0.0,0,2.0,7,-0.6829268292682927,0.3435937500000001,,,5,100.3,260.15,8,136.5,714.33,2,17,1397
4,11,00:37:24,67327,1,3,15,2,net shot,0.0,0,2.0,2,1.0365853658536586,-0.0919791666666667,,,7,125.7,576.12,8,109.4,248.08,2,17,1397
4,12,00:37:25,67353,1,3,16,3,lob,0.0,1,2.0,10,1.2695121951219517,1.8097395833333332,out,16.0,7,223.1,410.74,8,169.3,617.92,2,17,1397
