rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
35,1,00:26:51,48340,20,15,16,1,long service,0.0,0,1.0,4,-1.023170731707317,1.560208333333333,,,8,187.1,308.25,8,128.9,677.86,1,57,4804
35,2,00:26:53,48399,20,15,7,2,drop,0.0,0,2.0,6,1.19390243902439,-0.7903125000000001,,,4,97.0,766.56,8,143.4,277.04,1,57,4804
35,3,00:26:54,48420,20,15,16,2,net shot,0.0,1,2.0,7,0.3548780487804877,0.3073437499999999,,,8,245.9,297.28,8,128.8,721.78,1,57,4804
35,4,00:26:55,48451,20,15,7,2,net shot,0.0,0,2.0,7,-0.5926829268292683,-0.0948437499999999,,,7,189.3,564.56,8,212.5,287.03,1,57,4804
35,5,00:26:55,48476,20,15,16,2,lob,0.0,0,1.0,9,0.3658536585365853,1.6246354166666663,,,7,152.9,425.87,7,176.7,576.42,1,57,4804
35,6,00:26:57,48536,20,15,7,2,smash,0.0,0,2.0,6,1.3109756097560976,-0.9684375,,,9,200.8,771.23,8,165.9,274.14,1,57,4804
35,7,00:26:58,48550,20,15,16,2,defensive shot,0.0,1,2.0,7,0.90609756097561,0.2954687500000001,,,8,170.4,276.78,9,209.5,765.01,1,57,4804
35,8,00:26:59,48583,20,15,7,3,net shot,0.0,0,2.0,7,0.1292682926829267,0.0190625000000001,not pass over the net,16.0,7,231.4,568.35,8,217.0,289.64,1,57,4804
35,1,00:50:00,90001,20,15,16,1,long service,0.0,0,1.0,9,0.925609756097561,-1.4608854166666667,,,8,169.3,670.81,8,223.0,270.9,2,57,4842
35,2,00:50:01,90058,20,15,7,2,drop,0.0,0,2.0,2,-0.9560975609756098,0.6520312500000003,,,4,255.2,183.54,8,211.0,679.46,2,57,4842
35,3,00:50:02,90077,20,15,16,2,net shot,0.0,1,2.0,7,-0.5439024390243902,-0.1184375,,,8,111.5,620.45,8,231.0,246.3,2,57,4842
35,4,00:50:03,90105,20,15,7,2,net shot,0.0,0,2.0,7,0.0219512195121952,0.1990104166666665,,,7,141.7,378.76,8,142.1,629.61,2,57,4842
35,5,00:50:04,90130,20,15,16,3,net shot,0.0,1,2.0,2,1.4048780487804875,-0.2672395833333333,opponent's ball landed,16.0,7,200.6,554.54,8,164.5,336.6,2,57,4842
