rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
30,1,00:21:38,38963,13,17,20,1,short service,0.0,1,2.0,7,0.4951219512195121,0.5590625000000001,,,8,161.6,329.49,8,236.1,678.06,1,48,4070
30,2,00:21:39,38987,13,17,16,2,net shot,0.0,1,2.0,7,0.1268292682926829,-0.1202083333333332,,,7,232.4,577.41,8,172.0,307.67,1,48,4070
30,3,00:21:40,39012,13,17,20,2,net shot,0.0,1,2.0,2,-0.9414634146341464,0.2089583333333333,,,7,172.5,403.29,8,200.8,602.78,1,48,4070
30,4,00:21:41,39036,13,17,16,2,lob,0.0,1,1.0,9,-0.4890243902439024,-1.4294791666666669,,,7,123.6,529.37,7,163.2,399.09,1,48,4070
30,5,00:21:43,39101,13,17,20,3,drop,0.0,0,2.0,5,1.5292682926829266,0.8832812500000001,opponent's ball landed,16.0,9,136.1,180.73,8,186.4,676.74,1,48,4070
30,1,00:40:34,73025,20,10,20,1,short service,0.0,1,2.0,7,-0.6317073170731707,-0.4539062499999999,,,8,189.4,641.88,8,120.4,285.42,2,48,4106
30,2,00:40:34,73049,20,10,16,2,lob,0.0,1,1.0,6,-1.0499999999999998,1.44984375,,,8,118.6,353.01,8,176.7,640.53,2,48,4106
30,3,00:40:36,73084,20,10,20,2,clear,0.0,1,1.0,8,-0.5024390243902438,-1.3540625000000002,,,4,100.8,757.93,8,134.3,310.32,2,48,4106
30,4,00:40:37,73120,20,10,16,2,drop,0.0,0,2.0,2,-1.373170731707317,0.6146354166666667,,,9,131.3,201.28,8,166.9,696.16,2,48,4106
30,5,00:40:38,73149,20,10,20,2,net shot,0.0,1,2.0,1,-1.225609756097561,-0.2014583333333333,,,6,76.4,607.08,8,145.1,226.7,2,48,4106
30,6,00:40:39,73178,20,10,16,2,lob,0.0,0,1.0,8,0.8207317073170733,1.5015104166666664,,,1,96.7,384.31,8,132.0,641.82,2,48,4106
30,7,00:40:40,73220,20,10,20,3,drop,0.0,0,2.0,10,-1.6292682926829267,-0.4522395833333332,out,16.0,9,216.4,763.43,8,167.8,315.03,2,48,4106
30,1,01:01:16,110295,17,13,16,1,short service,0.0,1,2.0,7,0.5475609756097561,0.5909375000000002,,,8,170.7,329.45,8,216.8,690.27,3,48,4137
30,2,01:01:17,110318,17,13,20,3,net shot,0.0,1,2.0,1,1.3841463414634143,0.0955729166666667,touched the net,16.0,8,217.1,608.57,8,169.2,307.68,3,48,4137
