rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
12,1,00:14:09,25497,8,4,14,1,short service,0.0,1,2.0,7,0.7817073170731706,-0.4995833333333334,,,8,168.6,630.07,8,214.3,281.6,1,54,4579
12,2,00:14:10,25517,8,4,3,2,net shot,0.0,1,2.0,1,1.15,0.2464062499999997,,,7,236.4,375.59,8,180.3,640.15,1,54,4579
12,3,00:14:11,25544,8,4,14,2,net shot,0.0,0,2.0,2,1.1536585365853662,-0.0623958333333334,,,1,255.8,535.52,7,225.1,366.37,1,54,4579
12,4,00:14:12,25570,8,4,3,2,net shot,0.0,0,2.0,1,1.0841463414634145,0.3152083333333332,,,7,238.4,433.12,7,209.1,565.97,1,54,4579
12,5,00:14:13,25590,8,4,14,2,lob,0.0,0,2.0,4,1.1,-1.4832291666666666,,,7,232.7,555.64,7,239.1,408.4,1,54,4579
12,6,00:14:14,25626,8,4,3,3,clear,0.0,0,2.0,10,1.9670731707317075,1.45890625,out,3.0,9,224.4,197.58,8,226.4,635.59,1,54,4579
12,1,00:37:11,66957,5,7,3,1,long service,0.0,1,1.0,4,1.076829268292683,-1.4172916666666666,,,8,172.7,633.88,8,217.7,281.64,2,54,4614
12,2,00:37:12,66989,5,7,14,2,clear,0.0,0,1.0,3,1.5060975609756098,1.55359375,,,8,215.1,227.9,8,178.6,655.8,2,54,4614
12,3,00:37:14,67031,5,7,3,2,clear,0.0,0,1.0,6,1.1170731707317076,-1.3205729166666669,,,3,261.9,767.55,8,193.7,281.39,2,54,4614
12,4,00:37:15,67062,5,7,14,2,clear,0.0,0,1.0,5,1.5085365853658534,1.4946354166666669,,,8,218.9,248.32,8,211.6,702.49,2,54,4614
12,5,00:37:16,67100,5,7,3,2,clear,0.0,0,1.0,8,-0.6317073170731707,-1.360572916666667,,,9,250.2,760.6,8,205.0,276.09,2,54,4614
12,6,00:37:17,67136,5,7,14,2,drop,0.0,0,2.0,7,-0.8463414634146342,0.4235416666666669,,,8,135.4,212.02,8,189.3,700.22,2,54,4614
12,7,00:37:18,67166,5,7,3,2,lob,0.0,0,1.0,3,-1.1426829268292684,-1.5274479166666666,,,7,127.5,565.23,8,146.1,294.21,2,54,4614
12,8,00:37:20,67212,5,7,14,2,drop,0.0,0,2.0,2,-1.1146341463414635,0.4861458333333335,,,9,116.4,180.57,8,146.8,643.53,2,54,4614
12,9,00:37:21,67243,5,7,3,3,net shot,0.0,0,2.0,7,0.9304878048780488,0.0915104166666666,touched the net,3.0,2,103.4,586.75,8,131.2,264.3,2,54,4614
