rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
1,1,00:09:54,17843,1,0,3,1,long service,0.0,1,1.0,5,-0.8963414634146342,-1.0340625,,,8,188.0,680.44,8,132.9,278.92,1,6,471
1,2,00:09:55,17869,1,0,8,2,smash,0.0,0,2.0,6,-1.0817073170731708,1.0,,,8,108.3,283.47,8,197.1,680.5,1,6,471
1,3,00:09:56,17881,1,0,3,2,defensive shot,0.0,0,2.0,5,-1.0,-0.6236979166666666,,,8,127.7,678.6,5,78.3,278.05,1,6,471
1,4,00:09:56,17906,1,0,8,2,push/rush,0.0,0,1.0,6,-1.001219512195122,1.2576041666666669,,,8,119.7,345.34,8,137.3,666.84,1,6,471
1,5,00:09:57,17926,1,0,3,2,clear,0.0,0,1.0,5,-0.9207317073170732,-1.0472916666666665,,,8,158.6,680.26,8,126.3,326.93,1,6,471
1,6,00:09:58,17949,1,0,8,2,clear,0.0,0,1.0,8,0.5926829268292683,1.3758333333333332,,,8,140.6,293.76,8,122.1,705.82,1,6,471
1,7,00:09:59,17985,1,0,3,2,clear,1.0,0,1.0,9,-0.578048780487805,-1.4121354166666666,,,8,186.7,725.54,8,156.9,266.85,1,6,471
1,8,00:10:00,18024,1,0,8,3,drop,0.0,0,2.0,10,1.7634146341463417,0.8484374999999998,out,3.0,9,138.5,193.34,8,166.2,681.76,1,6,471
1,1,00:31:29,56675,1,0,3,1,short service,0.0,1,2.0,7,0.6451219512195122,0.5550520833333336,,,8,170.8,327.59,8,218.6,687.88,2,6,505
1,2,00:31:29,56696,1,0,8,2,net shot,0.0,1,2.0,2,1.482926829268293,-0.3114583333333334,,,7,241.1,587.17,8,180.4,325.39,2,6,505
1,3,00:31:30,56725,1,0,3,2,lob,0.0,0,1.0,8,0.9097560975609756,1.369479166666667,,,2,266.8,389.67,8,228.5,626.06,2,6,505
1,4,00:31:32,56761,1,0,8,2,smash,0.0,0,2.0,6,1.298780487804878,-0.9672395833333332,,,8,241.6,736.62,8,217.2,292.52,2,6,505
1,5,00:31:32,56777,1,0,3,2,defensive shot,0.0,0,2.0,1,1.0756097560975608,0.3752083333333331,,,8,244.7,263.25,9,236.8,758.93,2,6,505
1,6,00:31:33,56804,1,0,8,3,push/rush,0.0,0,2.0,10,2.1012195121951223,-1.5201041666666668,out,3.0,7,230.8,590.42,8,223.0,260.38,2,6,505
