rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
27,1,00:22:09,39879,14,13,21,1,short service,0.0,1,2.0,7,0.6548780487804877,0.5158854166666664,,,8,162.6,345.76,8,209.4,683.78,1,26,2149
27,2,00:22:10,39900,14,13,0,2,push/rush,0.0,0,1.0,5,-1.0390243902439025,-1.364270833333333,,,8,202.6,606.32,8,166.2,348.71,1,26,2149
27,3,00:22:11,39932,14,13,21,2,drop,0.0,0,1.0,6,-0.9585365853658536,0.83921875,,,8,115.3,205.59,8,170.1,664.01,1,26,2149
27,4,00:22:11,39947,14,13,0,2,net shot,0.0,1,2.0,1,-1.1780487804878048,-0.29359375,,,8,167.4,671.07,8,121.7,272.14,1,26,2149
27,5,00:22:12,39971,14,13,21,2,lob,0.0,0,1.0,8,0.7085365853658536,1.3133333333333332,,,1,90.0,386.63,8,155.7,667.39,1,26,2149
27,6,00:22:13,40004,14,13,0,2,smash,0.0,0,2.0,6,1.180487804878049,-1.0160416666666665,,,8,197.4,745.68,8,138.5,336.58,1,26,2149
27,7,00:22:13,40019,14,13,21,3,defensive shot,0.0,1,2.0,2,1.065853658536585,-0.0383333333333334,not pass over the net,21.0,8,145.3,291.48,9,217.7,762.61,1,26,2149
27,1,00:45:50,82520,16,11,0,1,short service,0.0,1,2.0,7,-0.2158536585365852,0.4331770833333331,,,8,181.1,334.44,8,120.9,689.62,2,26,2191
27,2,00:45:51,82539,16,11,21,2,drive,0.0,0,2.0,8,-0.6695121951219513,-0.7270312499999999,,,8,122.5,597.34,8,159.0,345.69,2,26,2191
27,3,00:45:51,82549,16,11,0,2,drive,0.0,0,1.0,8,0.602439024390244,0.8378125000000001,,,8,140.2,333.68,7,124.3,583.24,2,26,2191
27,4,00:45:52,82562,16,11,21,2,defensive shot,0.0,0,2.0,8,0.5182926829268293,-0.6413020833333333,,,8,169.7,665.78,8,157.8,339.86,2,26,2191
27,5,00:45:52,82580,16,11,0,2,drive,0.0,1,1.0,8,-0.6109756097560974,0.8410937500000001,,,7,187.6,366.17,8,219.1,640.93,2,26,2191
27,6,00:45:53,82593,16,11,21,3,drive,0.0,1,2.0,9,-0.0621951219512194,-1.5020833333333332,opponent's ball landed,21.0,8,210.9,680.33,8,196.4,363.51,2,26,2191
