rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
32,1,00:22:04,39739,18,14,24,1,short service,0.0,1,2.0,7,-0.2597560975609757,0.4173437499999999,,,8,182.4,330.72,8,128.3,679.04,1,29,2396
32,2,00:22:05,39751,18,14,25,2,net shot,0.0,0,2.0,7,-0.2670731707317074,-0.1206250000000001,,,7,135.9,576.27,8,171.3,321.25,1,29,2396
32,3,00:22:05,39774,18,14,24,2,net shot,0.0,1,2.0,7,0.2573170731707316,0.2035416666666666,,,7,153.2,409.5,7,142.6,592.0,1,29,2396
32,4,00:22:06,39797,18,14,25,2,push/rush,0.0,0,1.0,5,-0.8890243902439026,-1.30234375,,,7,168.2,528.62,7,168.7,366.85,1,29,2396
32,5,00:22:07,39828,18,14,24,2,smash,0.0,0,2.0,6,-1.2695121951219512,1.3200520833333336,,,8,120.0,214.4,8,169.4,638.23,1,29,2396
32,6,00:22:08,39841,18,14,25,3,defensive shot,0.0,1,2.0,10,-2.6439024390243904,0.2751562500000002,not pass over the net,24.0,8,192.8,697.77,8,114.8,214.35,1,29,2396
32,1,00:45:01,81041,20,12,25,1,short service,0.0,1,2.0,7,0.3597560975609756,0.5969791666666667,,,8,169.9,328.28,8,226.5,681.19,2,29,2431
32,2,00:45:02,81063,20,12,24,2,net shot,0.0,1,2.0,7,-0.1634146341463415,-0.3755208333333334,,,8,196.1,601.66,8,162.0,299.64,2,29,2431
32,3,00:45:02,81087,20,12,25,2,lob,0.0,0,1.0,8,-0.7121951219512196,1.3220312500000002,,,7,203.0,375.94,8,184.8,615.09,2,29,2431
32,4,00:45:03,81119,20,12,24,2,smash,0.0,0,2.0,8,-0.2378048780487804,-0.93578125,,,8,128.0,749.38,8,161.9,282.44,2,29,2431
32,5,00:45:04,81131,20,12,25,2,defensive shot,0.0,1,1.0,7,-0.5609756097560976,0.4934375,,,8,124.3,251.62,9,113.1,768.47,2,29,2431
32,6,00:45:05,81153,20,12,24,2,push/rush,0.0,0,1.0,8,-0.8329268292682926,-1.12265625,,,7,144.3,592.01,8,131.4,246.49,2,29,2431
32,7,00:45:05,81168,20,12,25,2,defensive shot,0.0,0,2.0,7,0.8451219512195123,0.4560416666666664,,,8,131.4,243.88,8,141.9,607.24,2,29,2431
32,8,00:45:06,81193,20,12,24,2,lob,0.0,1,1.0,4,1.076829268292683,-1.379895833333333,,,7,235.4,578.73,8,166.9,284.97,2,29,2431
32,9,00:45:07,81224,20,12,25,3,smash,0.0,1,2.0,10,1.6439024390243904,1.3304687500000003,out,24.0,9,239.2,199.06,8,195.6,597.08,2,29,2431
