rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
35,1,00:32:08,57857,18,17,26,1,short service,0.0,1,2.0,7,0.5463414634146343,0.4229166666666669,,,8,166.1,341.4,8,214.7,666.88,1,34,2774
35,2,00:32:09,57879,18,17,9,2,lob,0.0,0,1.0,4,1.2963414634146342,-1.4368229166666666,,,7,173.0,554.54,8,165.2,308.56,1,34,2774
35,3,00:32:10,57907,18,17,26,2,clear,1.0,0,1.0,4,-1.146341463414634,1.6308854166666666,,,8,213.6,252.84,8,212.7,633.95,1,34,2774
35,4,00:32:11,57947,18,17,9,2,smash,1.0,0,1.0,5,-0.9439024390243904,-1.0953125,,,8,132.3,751.11,8,152.6,256.15,1,34,2774
35,5,00:32:12,57965,18,17,26,2,drive,0.0,0,1.0,8,-0.7585365853658537,0.9958333333333336,,,8,112.6,280.48,8,118.9,727.95,1,34,2774
35,6,00:32:12,57977,18,17,9,2,drive,0.0,1,1.0,8,-0.3146341463414635,-0.9187499999999998,,,8,143.7,663.52,8,121.7,288.26,1,34,2774
35,7,00:32:13,57990,18,17,26,2,defensive shot,0.0,1,2.0,2,-1.0926829268292682,0.5106249999999998,,,8,131.3,288.16,8,160.0,648.92,1,34,2774
35,8,00:32:13,58012,18,17,9,2,net shot,0.0,1,2.0,1,-1.1890243902439024,-0.2146354166666665,,,8,105.2,615.58,8,136.7,269.67,1,34,2774
35,9,00:32:14,58041,18,17,26,2,lob,0.0,0,1.0,4,-1.1109756097560974,1.5309895833333336,,,1,97.7,392.97,8,137.9,615.45,1,34,2774
35,10,00:32:15,58077,18,17,9,2,smash,1.0,0,2.0,5,-1.2073170731707317,-1.05234375,,,8,107.4,747.88,8,127.3,282.96,1,34,2774
35,11,00:32:16,58089,18,17,26,2,defensive shot,0.0,0,2.0,2,-1.1804878048780487,0.2872916666666665,,,8,128.7,256.39,6,97.4,739.66,1,34,2774
35,12,00:32:17,58113,18,17,9,2,net shot,0.0,1,2.0,2,1.232926829268293,-0.2462499999999998,,,2,85.7,582.87,8,107.1,251.22,1,34,2774
35,13,00:32:18,58140,18,17,26,2,net shot,0.0,1,2.0,1,1.2073170731707317,0.1822916666666666,,,7,251.0,377.42,8,130.9,639.83,1,34,2774
35,14,00:32:18,58167,18,17,9,2,lob,0.0,0,1.0,9,-0.7597560975609756,-1.5315625,,,7,247.6,560.21,8,230.4,363.04,1,34,2774
35,15,00:32:20,58210,18,17,26,2,clear,0.0,0,1.0,4,-0.9060975609756096,1.67171875,,,9,126.4,184.29,8,184.1,605.71,1,34,2774
35,16,00:32:21,58256,18,17,9,2,clear,1.0,0,1.0,3,-0.973170731707317,-1.530520833333333,,,9,111.3,768.95,8,147.8,280.14,1,34,2774
35,17,00:32:23,58308,18,17,26,2,clear,0.0,0,1.0,4,-1.10609756097561,1.614375,,,3,103.0,164.35,8,172.3,667.02,1,34,2774
35,18,00:32:24,58347,18,17,9,2,clear,1.0,0,1.0,4,0.9780487804878047,-1.540052083333333,,,4,103.9,759.3,8,136.1,272.33,1,34,2774
35,19,00:32:26,58390,18,17,26,2,smash,1.0,0,2.0,5,1.1329268292682924,0.8586979166666667,,,9,213.2,191.89,8,188.1,703.95,1,34,2774
35,20,00:32:26,58409,18,17,9,2,defensive shot,0.0,0,2.0,1,-0.9634146341463414,-0.2153124999999998,,,8,250.3,679.27,9,233.2,188.81,1,34,2774
35,21,00:32:27,58439,18,17,26,2,lob,0.0,0,1.0,6,-0.9317073170731708,1.3767708333333335,,,7,112.0,383.33,8,180.3,648.85,1,34,2774
35,22,00:32:29,58470,18,17,9,2,smash,1.0,0,2.0,8,0.8475609756097561,-0.9507291666666668,,,8,124.0,729.61,8,134.8,303.7,1,34,2774
35,23,00:32:29,58484,18,17,26,2,defensive shot,0.0,1,2.0,1,1.0341463414634149,0.5060416666666665,,,8,130.5,280.31,8,133.7,747.83,1,34,2774
35,24,00:32:30,58513,18,17,9,2,net shot,0.0,0,2.0,2,1.315853658536585,-0.1390624999999999,,,8,232.3,607.42,8,237.7,323.19,1,34,2774
35,25,00:32:31,58542,18,17,26,2,lob,0.0,1,1.0,8,-0.6195121951219512,1.3151041666666667,,,2,260.4,403.52,8,239.8,613.12,1,34,2774
35,26,00:32:33,58594,18,17,9,3,smash,1.0,0,2.0,6,1.5402439024390244,-1.0501041666666666,opponent's ball landed,26.0,8,132.6,744.54,8,154.1,272.15,1,34,2774
35,1,01:08:46,123795,18,17,26,1,short service,0.0,1,2.0,7,0.3987804878048779,-0.34078125,,,8,169.5,622.88,8,229.1,284.61,2,34,2816
35,2,01:08:47,123816,18,17,9,2,lob,0.0,0,1.0,9,-0.2109756097560977,1.5638541666666663,,,7,213.9,389.68,8,178.1,630.35,2,34,2816
35,3,01:08:48,123852,18,17,26,2,drop,0.0,0,2.0,8,0.9085365853658536,-0.6191145833333334,,,9,134.9,792.61,8,149.5,313.82,2,34,2816
35,4,01:08:49,123875,18,17,9,2,net shot,0.0,1,2.0,7,0.471951219512195,0.4018229166666665,,,8,220.9,343.41,8,149.5,726.19,2,34,2816
35,5,01:08:49,123898,18,17,26,2,net shot,0.0,0,2.0,7,0.0219512195121952,-0.3518229166666667,,,7,185.9,564.53,8,186.1,316.03,2,34,2816
35,6,01:08:50,123924,18,17,9,2,lob,0.0,1,1.0,8,-0.3207317073170733,1.2704687499999998,,,7,169.3,370.83,8,174.3,624.74,2,34,2816
35,7,01:08:51,123955,18,17,26,2,smash,0.0,0,2.0,5,-1.1451219512195123,-0.9835937500000002,,,8,167.4,712.59,8,144.6,285.42,2,34,2816
35,8,01:08:52,123968,18,17,9,2,defensive shot,0.0,0,2.0,8,-0.7975609756097561,0.7041145833333337,,,8,128.7,288.19,9,165.2,768.86,2,34,2816
35,9,01:08:53,123996,18,17,26,2,push/rush,0.0,1,1.0,5,-1.1487804878048782,-1.2503125,,,8,128.1,598.25,8,136.0,298.52,2,34,2816
35,10,01:08:54,124029,18,17,9,2,drop,0.0,0,2.0,1,1.2317073170731707,0.453125,,,5,95.0,221.26,8,166.0,663.44,2,34,2816
35,11,01:08:55,124058,18,17,26,2,net shot,0.0,0,2.0,2,1.4780487804878046,-0.1632291666666665,,,7,247.9,584.07,8,166.9,266.71,2,34,2816
35,12,01:08:56,124087,18,17,9,2,lob,0.0,1,1.0,3,1.052439024390244,1.5293229166666666,,,2,267.7,417.47,8,219.9,599.78,2,34,2816
35,13,01:08:57,124139,18,17,26,2,smash,0.0,0,2.0,5,-1.3378048780487806,-0.9010416666666666,,,3,253.1,775.1,8,169.6,293.01,2,34,2816
35,14,01:08:58,124157,18,17,9,2,defensive shot,0.0,0,2.0,2,-1.221951219512195,0.2873958333333331,,,8,146.7,293.23,8,248.5,752.51,2,34,2816
35,15,01:08:59,124188,18,17,26,2,lob,0.0,1,1.0,8,0.7670731707317073,-1.3168229166666667,,,2,96.9,560.97,5,88.8,324.52,2,34,2816
35,16,01:09:00,124220,18,17,9,2,clear,0.0,0,1.0,6,-1.0914634146341464,1.488697916666667,,,8,193.5,239.48,8,168.3,619.11,2,34,2816
35,17,01:09:02,124266,18,17,26,2,drop,0.0,0,2.0,5,-0.8890243902439026,-0.6254687499999999,,,8,109.1,751.15,8,141.1,264.3,2,34,2816
35,18,01:09:03,124290,18,17,9,2,lob,0.0,0,1.0,6,-0.8792682926829267,1.0894791666666663,,,8,120.8,324.24,6,78.8,751.21,2,34,2816
35,19,01:09:03,124313,18,17,26,2,smash,0.0,0,2.0,5,-0.9439024390243904,-1.0119270833333334,,,8,139.2,674.29,8,134.7,298.53,2,34,2816
35,20,01:09:04,124325,18,17,9,2,defensive shot,0.0,0,1.0,5,1.25,1.2776041666666664,,,8,118.9,277.79,8,158.4,695.36,2,34,2816
35,21,01:09:05,124358,18,17,26,2,clear,0.0,0,1.0,6,0.9317073170731708,-1.2453125,,,8,243.7,731.01,8,181.1,298.1,2,34,2816
35,22,01:09:06,124384,18,17,9,2,clear,0.0,0,1.0,8,-0.7597560975609756,1.2171875000000003,,,8,219.9,225.47,8,224.5,700.39,2,34,2816
35,23,01:09:07,124412,18,17,26,2,clear,0.0,0,1.0,4,1.0012195121951222,-1.420625,,,8,162.6,700.56,8,197.4,244.88,2,34,2816
35,24,01:09:08,124452,18,17,9,2,smash,0.0,0,2.0,5,1.184146341463415,1.0400520833333335,,,9,217.0,203.17,8,187.0,705.67,2,34,2816
