rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
6,1,00:09:01,16240,5,1,13,1,short service,0.0,1,2.0,7,0.6670731707317071,-0.2889062500000001,,,8,170.1,622.98,8,222.0,287.37,1,20,1617
6,2,00:09:02,16265,5,1,17,2,lob,0.0,1,1.0,5,1.204878048780488,1.4794270833333332,,,7,228.9,366.7,8,178.0,625.07,1,20,1617
6,3,00:09:03,16301,5,1,13,2,drop,0.0,0,2.0,7,0.8609756097560974,-0.2311458333333333,,,3,259.0,764.82,8,210.2,274.15,1,20,1617
6,4,00:09:04,16324,5,1,17,2,net shot,0.0,0,2.0,1,1.2121951219512193,0.2039583333333334,,,7,240.9,366.96,8,227.2,719.69,1,20,1617
6,5,00:09:05,16351,5,1,13,2,push/rush,0.0,0,1.0,6,1.1268292682926826,-1.3336979166666667,,,7,244.1,544.66,8,212.8,330.85,1,20,1617
6,6,00:09:06,16381,5,1,17,2,drop,0.0,0,2.0,5,1.1902439024390246,0.7380729166666669,,,8,240.5,217.33,8,221.7,641.22,1,20,1617
6,7,00:09:06,16402,5,1,13,2,net shot,0.0,0,2.0,2,1.2341463414634144,-0.09140625,,,8,241.2,643.42,8,231.3,254.81,1,20,1617
6,8,00:09:07,16430,5,1,17,2,lob,0.0,0,1.0,3,1.0963414634146338,1.54359375,,,2,272.1,379.07,8,205.1,635.21,1,20,1617
6,9,00:09:09,16475,5,1,13,2,smash,0.0,0,2.0,6,1.1329268292682924,-1.0660416666666668,,,3,257.7,764.81,8,216.7,271.03,1,20,1617
6,10,00:09:09,16488,5,1,17,2,defensive shot,0.0,0,2.0,7,0.6646341463414634,0.5840104166666666,,,8,231.2,258.14,5,262.6,728.44,1,20,1617
6,11,00:09:10,16511,5,1,13,2,net shot,0.0,0,2.0,7,-0.6085365853658538,-0.2020312500000001,,,8,200.9,595.33,8,225.6,274.51,1,20,1617
6,12,00:09:11,16537,5,1,17,2,lob,0.0,1,1.0,9,0.9231707317073168,1.5184895833333332,,,7,148.1,396.16,8,171.5,621.03,1,20,1617
6,13,00:09:12,16572,5,1,13,2,clear,0.0,0,1.0,5,-1.278048780487805,-1.3585416666666668,,,8,244.2,755.36,8,195.1,302.66,1,20,1617
6,14,00:09:13,16608,5,1,17,2,drop,0.0,1,2.0,2,-1.3109756097560976,0.5254166666666666,,,8,143.3,239.23,8,168.7,691.56,1,20,1617
6,15,00:09:14,16630,5,1,13,3,net shot,0.0,1,2.0,7,-0.1621951219512196,0.1056770833333334,not pass over the net,17.0,6,89.1,599.64,8,145.1,259.48,1,20,1617
6,1,00:29:28,53058,5,1,17,1,short service,0.0,1,2.0,7,-0.0756097560975608,-0.3667708333333334,,,8,181.0,597.05,8,137.1,275.75,2,20,1649
6,2,00:29:29,53080,5,1,13,2,lob,0.0,1,1.0,6,-0.9634146341463414,1.3667187499999998,,,7,134.5,379.05,8,173.5,613.12,2,20,1649
6,3,00:29:30,53112,5,1,17,2,drop,0.0,0,2.0,2,1.1829268292682926,-0.3992708333333334,,,6,95.0,751.81,8,154.0,289.04,2,20,1649
6,4,00:29:31,53139,5,1,13,2,net shot,0.0,1,2.0,1,1.1658536585365855,0.2887500000000003,,,6,267.4,347.03,8,161.7,694.94,2,20,1649
6,5,00:29:32,53166,5,1,17,2,net shot,0.0,1,2.0,2,1.2402439024390242,-0.1317708333333334,,,7,240.7,537.88,8,231.5,325.17,2,20,1649
6,6,00:29:33,53191,5,1,13,2,lob,0.0,1,1.0,6,-0.9073170731707316,1.3755729166666668,,,2,254.4,420.12,7,226.3,553.21,2,20,1649
6,7,00:29:34,53233,5,1,17,2,clear,0.0,0,1.0,5,-1.1536585365853658,-1.17625,,,8,124.4,752.2,8,176.2,286.34,2,20,1649
6,8,00:29:35,53263,5,1,13,2,drop,0.0,0,2.0,1,1.0195121951219517,0.6084375000000003,,,8,106.8,245.17,8,120.7,708.1,2,20,1649
6,9,00:29:36,53290,5,1,17,2,net shot,0.0,1,2.0,7,0.2085365853658536,-0.1540104166666666,,,8,232.4,608.06,8,142.4,256.08,2,20,1649
6,10,00:29:37,53316,5,1,13,2,net shot,0.0,0,2.0,1,1.0024390243902437,0.226875,,,7,201.7,410.97,8,191.0,617.39,2,20,1649
6,11,00:29:37,53336,5,1,17,2,lob,0.0,1,1.0,3,-1.1487804878048782,-1.5463020833333332,,,7,225.7,526.24,7,210.7,369.21,2,20,1649
6,12,00:29:39,53378,5,1,13,2,clear,0.0,0,1.0,6,-0.873170731707317,1.3070833333333336,,,9,114.0,178.33,8,153.7,647.75,2,20,1649
6,13,00:29:40,53408,5,1,17,3,smash,0.0,0,2.0,6,1.3317073170731706,-0.8784375000000001,opponent's ball landed,17.0,6,101.4,729.49,8,128.7,235.47,2,20,1649
