rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
12,1,00:14:00,25222,9,3,24,1,short service,0.0,1,2.0,7,0.1585365853658536,0.5488020833333334,,,8,169.8,323.53,8,215.6,685.79,1,30,2447
12,2,00:14:01,25244,9,3,13,2,lob,0.0,0,1.0,4,1.0134146341463417,-1.47890625,,,8,196.4,613.76,8,172.5,321.04,1,30,2447
12,3,00:14:02,25285,9,3,24,2,drop,0.0,0,2.0,8,0.873170731707317,0.6688541666666664,,,9,230.9,180.59,8,192.5,677.97,1,30,2447
12,4,00:14:03,25309,9,3,13,2,net shot,0.0,0,2.0,7,0.4817073170731707,-0.3229166666666667,,,8,214.3,649.67,8,202.7,251.96,1,30,2447
12,5,00:14:04,25338,9,3,24,2,net shot,0.0,0,2.0,7,-0.0609756097560975,0.3928645833333331,,,7,181.6,368.8,8,186.5,655.0,1,30,2447
12,6,00:14:05,25361,9,3,13,2,lob,0.0,1,1.0,4,0.9975609756097562,-1.6127604166666665,,,7,180.0,581.65,8,172.6,357.17,1,30,2447
12,7,00:14:06,25407,9,3,24,2,drop,0.0,0,2.0,7,-0.578048780487805,0.5038541666666667,,,9,238.6,177.65,8,198.2,703.43,1,30,2447
12,8,00:14:07,25433,9,3,13,2,net shot,0.0,1,2.0,2,1.0341463414634149,-0.4082812499999999,,,8,142.6,624.83,8,190.8,267.81,1,30,2447
12,9,00:14:08,25460,9,3,24,2,net shot,0.0,0,2.0,7,0.1146341463414634,0.3719791666666664,,,7,215.6,377.67,8,178.9,641.61,1,30,2447
12,10,00:14:09,25483,9,3,13,2,lob,0.0,0,1.0,9,-0.824390243902439,-1.4683854166666668,,,7,178.6,588.96,8,182.6,359.41,1,30,2447
12,11,00:14:10,25527,9,3,24,2,drop,1.0,0,2.0,5,1.1231707317073174,0.7419270833333336,,,8,112.1,207.32,8,171.3,670.05,1,30,2447
12,12,00:14:11,25550,9,3,13,2,net shot,0.0,0,2.0,2,1.2609756097560971,-0.3503645833333332,,,8,226.2,667.82,9,129.3,181.95,1,30,2447
12,13,00:14:12,25578,9,3,24,2,net shot,0.0,0,2.0,1,1.4219512195121955,0.4550520833333333,,,7,231.5,372.84,8,202.3,666.43,1,30,2447
12,14,00:14:13,25608,9,3,13,2,net shot,0.0,0,2.0,1,-0.9878048780487804,-0.2113020833333333,,,1,265.2,593.41,8,201.7,320.67,1,30,2447
12,15,00:14:14,25637,9,3,24,2,push/rush,0.0,1,1.0,8,-0.7146341463414634,1.0349479166666669,,,7,121.1,394.86,8,198.0,627.69,1,30,2447
12,16,00:14:15,25662,9,3,13,3,smash,0.0,1,2.0,5,-1.3573170731707316,-0.9618229166666667,opponent's ball landed,13.0,8,132.3,680.24,8,146.0,355.14,1,30,2447
12,1,00:42:30,76528,11,1,24,1,short service,0.0,1,2.0,7,0.352439024390244,-0.3928125,,,8,166.9,660.21,8,224.0,272.55,2,30,2489
12,2,00:42:31,76551,11,1,13,2,net shot,0.0,0,2.0,1,0.9439024390243904,0.3779166666666664,,,7,223.9,402.64,8,175.3,648.41,2,30,2489
12,3,00:42:32,76575,11,1,24,2,net shot,0.0,1,2.0,7,0.7512195121951218,-0.2203125,,,7,233.9,588.34,8,204.6,344.88,2,30,2489
12,4,00:42:33,76603,11,1,13,2,lob,0.0,1,1.0,3,1.4024390243902438,1.5177083333333332,,,7,205.8,402.87,8,203.8,608.39,2,30,2489
12,5,00:42:35,76658,11,1,24,2,clear,1.0,0,1.0,9,-0.8414634146341463,-1.4098958333333331,,,3,272.8,784.33,8,193.7,313.38,2,30,2489
12,6,00:42:36,76697,11,1,13,2,drop,0.0,0,2.0,6,-1.047560975609756,0.66859375,,,8,114.9,204.52,8,177.5,702.08,2,30,2489
12,7,00:42:37,76722,11,1,24,2,net shot,0.0,0,2.0,1,-1.0182926829268293,-0.3151041666666667,,,8,107.2,637.28,8,152.3,263.11,2,30,2489
12,8,00:42:38,76750,11,1,13,2,lob,0.0,0,1.0,4,-0.924390243902439,1.5278645833333335,,,7,108.3,399.55,8,131.7,660.58,2,30,2489
12,9,00:42:40,76800,11,1,24,2,clear,0.0,0,1.0,3,-0.9707317073170731,-1.43828125,,,9,124.9,794.19,8,133.5,343.37,2,30,2489
12,10,00:42:41,76837,11,1,13,2,drop,0.0,0,2.0,2,-1.0585365853658537,0.5738541666666664,,,8,110.4,207.34,8,149.0,707.08,2,30,2489
12,11,00:42:42,76865,11,1,24,2,net shot,0.0,0,2.0,2,1.195121951219512,-0.3266145833333332,,,8,110.2,633.82,8,140.2,268.46,2,30,2489
12,12,00:42:43,76893,11,1,13,2,lob,0.0,1,1.0,4,-1.173170731707317,1.528958333333333,,,8,233.3,365.82,8,168.1,636.61,2,30,2489
12,13,00:42:44,76936,11,1,24,2,drop,0.0,0,2.0,5,-1.1256097560975609,-0.5294270833333332,,,9,112.6,781.72,8,162.9,343.01,2,30,2489
12,14,00:42:45,76964,11,1,13,3,net shot,0.0,0,2.0,1,1.3597560975609757,0.2540104166666665,opponent's ball landed,13.0,5,95.3,351.02,8,138.8,713.41,2,30,2489
