rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
20,1,00:15:57,28736,14,6,17,1,short service,0.0,1,2.0,7,0.2341463414634145,0.2850520833333334,,,8,170.5,338.52,8,214.7,653.02,1,14,1122
20,2,00:15:58,28756,14,6,5,2,net shot,0.0,0,2.0,7,0.0890243902439025,-0.0206770833333334,,,7,181.6,557.93,8,175.4,335.95,1,14,1122
20,3,00:15:59,28777,14,6,17,2,lob,0.0,1,1.0,9,0.7585365853658536,1.5908333333333335,,,7,186.7,412.86,7,179.2,590.77,1,14,1122
20,4,00:16:00,28813,14,6,5,2,smash,0.0,0,2.0,5,-1.202439024390244,-0.9779166666666668,,,9,217.8,778.86,8,201.1,301.2,1,14,1122
20,5,00:16:01,28831,14,6,17,2,defensive shot,0.0,1,2.0,7,-0.7926829268292683,0.3149479166666668,,,8,191.3,264.51,9,232.6,757.87,1,14,1122
20,6,00:16:02,28865,14,6,5,2,lob,0.0,1,1.0,9,0.4817073170731707,-1.5344791666666666,,,7,130.2,588.43,8,132.5,316.35,1,14,1122
20,7,00:16:04,28921,14,6,17,2,smash,0.0,0,2.0,8,-0.7890243902439025,0.9176562500000004,,,9,206.6,181.52,8,197.4,671.43,1,14,1122
20,8,00:16:04,28936,14,6,5,2,defensive shot,0.0,1,1.0,5,-1.0439024390243905,-0.8602083333333335,,,8,206.7,658.57,8,205.0,215.02,1,14,1122
20,9,00:16:05,28954,14,6,17,2,net shot,0.0,1,2.0,2,-0.945121951219512,0.2574479166666664,,,8,143.8,294.57,8,165.2,637.72,1,14,1122
20,10,00:16:05,28976,14,6,5,3,net shot,0.0,1,2.0,2,1.545121951219512,-0.2607812499999999,misjudged,5.0,7,112.3,561.57,8,140.0,302.8,1,14,1122
20,1,00:46:42,84085,15,5,5,1,short service,0.0,1,2.0,7,-0.6707317073170732,0.3939062499999999,,,8,184.8,322.72,8,137.6,673.08,2,14,1160
20,2,00:46:43,84101,15,5,17,2,net shot,0.0,1,2.0,1,-1.1658536585365853,-0.3938020833333334,,,8,115.4,606.37,8,168.2,325.11,2,14,1160
20,3,00:46:44,84124,15,5,5,2,lob,0.0,0,1.0,8,0.8451219512195123,1.4462499999999998,,,1,89.6,368.59,8,135.5,643.3,2,14,1160
20,4,00:46:45,84166,15,5,17,2,smash,1.0,0,2.0,6,1.3585365853658533,-1.07421875,,,8,231.6,748.0,8,151.3,308.51,2,14,1160
20,5,00:46:46,84180,15,5,5,3,defensive shot,0.0,1,2.0,10,1.648780487804878,0.6490104166666667,out,5.0,8,157.3,289.26,9,239.7,783.58,2,14,1160
