rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
10,1,00:11:08,20040,7,3,5,1,short service,0.0,1,2.0,7,-0.3560975609756096,-0.1957812499999998,,,8,183.0,629.73,8,121.4,293.16,1,45,3766
10,2,00:11:08,20062,7,3,33,2,lob,0.0,0,1.0,4,-1.1134146341463411,1.53140625,,,7,166.4,380.48,8,180.9,628.37,1,45,3766
10,3,00:11:09,20092,7,3,5,2,smash,1.0,0,2.0,8,-0.1353658536585365,-0.9165104166666668,,,8,169.2,698.74,8,162.0,302.64,1,45,3766
10,4,00:11:10,20104,7,3,33,3,defensive shot,0.0,0,2.0,10,2.296341463414634,0.5670833333333333,out,5.0,8,138.2,271.51,8,144.7,724.08,1,45,3766
10,1,00:28:52,51968,4,6,5,1,short service,0.0,1,2.0,7,-0.6573170731707317,0.1397395833333332,,,8,185.0,321.6,8,132.3,665.28,2,45,3803
10,2,00:28:53,51990,4,6,33,2,net shot,0.0,0,2.0,1,-1.1292682926829267,-0.0796875,,,7,125.2,560.04,8,180.0,327.28,2,45,3803
10,3,00:28:53,52013,4,6,5,2,lob,0.0,0,1.0,4,-1.3926829268292684,1.5387500000000005,,,7,108.3,414.2,8,139.0,602.11,2,45,3803
10,4,00:28:55,52054,4,6,33,2,clear,0.0,1,1.0,9,-0.7268292682926829,-1.4797916666666666,,,4,79.0,782.16,8,133.1,318.07,2,45,3803
10,5,00:28:56,52094,4,6,5,3,smash,0.0,0,2.0,5,1.3219512195121947,1.1615624999999998,opponent's ball landed,5.0,8,114.4,206.26,8,173.7,694.86,2,45,3803
10,1,00:46:45,84166,7,3,5,1,short service,0.0,1,2.0,7,-0.2829268292682925,-0.2583854166666667,,,8,182.6,631.11,8,124.1,298.96,3,45,3837
10,2,00:46:46,84186,7,3,33,2,net shot,0.0,0,2.0,7,0.1134146341463416,0.1952604166666667,,,7,173.2,371.47,8,185.1,626.95,3,45,3837
10,3,00:46:46,84206,7,3,5,2,net shot,0.0,0,2.0,7,-0.496341463414634,-0.1074999999999999,,,7,187.3,552.11,8,171.2,353.31,3,45,3837
10,4,00:46:47,84232,7,3,33,2,lob,0.0,0,1.0,8,-0.8500000000000001,1.1092708333333334,,,7,163.0,387.61,8,176.2,610.29,3,45,3837
10,5,00:46:48,84256,7,3,5,3,smash,0.0,1,2.0,3,-1.3792682926829267,-1.4454166666666666,opponent's ball landed,5.0,8,135.0,671.86,8,159.2,331.13,3,45,3837
