rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
14,1,00:36:31,65742,9,5,30,1,short service,0.0,1,2.0,7,0.319512195121951,-0.3770833333333332,,,8,167.3,616.6,8,216.2,288.74,2,42,3475
14,2,00:36:32,65762,9,5,5,2,net shot,0.0,0,2.0,7,0.2304878048780488,0.2638020833333332,,,8,199.0,358.11,8,179.1,627.8,2,42,3475
14,3,00:36:32,65782,9,5,30,2,push/rush,0.0,0,1.0,8,-0.6621951219512194,-0.6047395833333334,,,7,191.6,548.53,7,183.7,370.47,2,42,3475
14,4,00:36:33,65792,9,5,5,2,drive,0.0,0,2.0,7,-0.1121951219512193,0.6103124999999997,,,8,149.4,338.25,7,191.1,554.58,2,42,3475
14,5,00:36:33,65801,9,5,30,2,defensive shot,0.0,1,1.0,8,0.3951219512195122,-0.6584895833333334,,,7,185.5,588.11,8,139.0,335.75,2,42,3475
14,6,00:36:33,65818,9,5,5,2,push/rush,0.0,1,2.0,8,0.1780487804878048,0.9704687500000002,,,8,155.2,317.8,8,171.1,636.96,2,42,3475
14,7,00:36:34,65827,9,5,30,2,defensive shot,0.0,1,1.0,9,0.4829268292682926,-1.4055729166666666,,,8,198.9,708.88,8,209.0,343.08,2,42,3475
14,8,00:36:35,65867,9,5,5,2,smash,1.0,0,2.0,5,1.1170731707317076,0.7317187500000001,,,8,190.9,220.24,8,204.2,688.52,2,42,3475
14,9,00:36:36,65887,9,5,30,2,defensive shot,0.0,0,2.0,7,0.8353658536585366,-0.3279687500000001,,,8,246.9,644.53,8,188.6,223.09,2,42,3475
14,10,00:36:37,65915,9,5,5,2,net shot,0.0,1,2.0,1,1.0219512195121954,0.1085416666666665,,,7,237.0,392.13,8,226.2,620.53,2,42,3475
14,11,00:36:37,65939,9,5,30,2,net shot,0.0,0,2.0,7,0.5536585365853659,0.0518229166666666,,,7,238.2,523.95,7,212.2,377.71,2,42,3475
