rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
6,1,00:09:28,17064,3,3,32,1,short service,0.0,1,2.0,7,0.4890243902439024,0.4359895833333335,,,8,169.9,325.41,8,223.9,652.42,1,52,4389
6,2,00:09:29,17087,3,3,31,2,net shot,0.0,0,2.0,7,0.024390243902439,-0.1906770833333334,,,7,208.8,568.15,8,177.6,315.74,1,52,4389
6,3,00:09:30,17112,3,3,32,2,lob,0.0,1,1.0,6,-0.8878048780487805,1.3014583333333334,,,7,166.1,366.98,8,185.7,621.29,1,52,4389
6,4,00:09:31,17140,3,3,31,2,smash,1.0,0,2.0,8,0.9073170731707316,-1.0806250000000002,,,8,163.5,713.56,8,144.9,278.57,1,52,4389
6,5,00:09:31,17156,3,3,32,2,defensive shot,0.0,1,2.0,1,1.2731707317073169,0.4935937499999999,,,8,136.2,257.78,8,131.9,731.41,1,52,4389
6,6,00:09:32,17187,3,3,31,2,net shot,0.0,0,2.0,1,-1.1609756097560977,-0.1988541666666667,,,8,247.3,602.72,8,222.7,262.37,1,52,4389
6,7,00:09:34,17220,3,3,32,2,lob,0.0,0,1.0,6,-1.3658536585365857,1.2773958333333333,,,1,101.3,404.09,8,173.8,601.32,1,52,4389
6,8,00:09:35,17255,3,3,31,3,drop,0.0,1,2.0,10,1.6024390243902435,-0.6318229166666667,out,32.0,6,84.6,732.41,8,128.1,316.08,1,52,4389
6,1,00:32:16,58081,3,3,31,1,short service,0.0,1,2.0,7,-0.848780487804878,0.4620833333333334,,,8,185.9,348.74,8,137.5,674.12,2,52,4424
6,2,00:32:16,58101,3,3,32,2,net shot,0.0,1,2.0,7,0.6439024390243904,-0.1814062499999999,,,7,130.5,566.71,8,171.3,318.2,2,52,4424
6,3,00:32:17,58122,3,3,31,2,lob,0.0,1,1.0,6,-0.8817073170731707,1.3654166666666665,,,7,200.6,373.44,8,164.5,607.11,2,52,4424
6,4,00:32:18,58158,3,3,32,2,smash,1.0,0,2.0,8,0.2926829268292683,-0.8139062499999999,,,8,166.3,707.81,8,140.0,286.26,2,52,4424
6,5,00:32:19,58174,3,3,31,2,defensive shot,0.0,1,2.0,7,0.901219512195122,0.4607812500000001,,,8,131.2,283.78,8,126.2,739.0,2,52,4424
6,6,00:32:20,58203,3,3,32,2,net shot,0.0,0,2.0,7,-0.674390243902439,-0.2632812500000001,,,8,225.9,601.28,8,178.4,308.42,2,52,4424
6,7,00:32:20,58228,3,3,31,2,lob,0.0,0,1.0,5,1.242682926829268,1.5011458333333334,,,7,144.2,384.69,8,185.2,612.83,2,52,4424
6,8,00:32:22,58265,3,3,32,2,clear,0.0,0,1.0,8,0.8353658536585366,-1.2352604166666663,,,9,237.6,777.36,8,172.6,298.58,2,52,4424
6,9,00:32:23,58293,3,3,31,2,smash,0.0,0,2.0,5,1.2097560975609756,1.0331770833333334,,,8,215.7,221.73,8,219.9,714.79,2,52,4424
6,10,00:32:23,58306,3,3,32,2,defensive shot,0.0,0,2.0,2,0.9890243902439028,-0.48890625,,,8,227.0,700.89,8,211.7,259.82,2,52,4424
6,11,00:32:24,58333,3,3,31,2,push/rush,0.0,1,2.0,3,1.5182926829268293,1.5390104166666667,,,7,222.9,373.32,8,212.7,645.82,2,52,4424
6,12,00:32:25,58367,3,3,32,2,drive,0.0,0,1.0,6,1.4609756097560975,-0.960625,,,3,261.7,767.47,8,192.0,295.95,2,52,4424
6,13,00:32:26,58384,3,3,31,2,defensive shot,0.0,1,2.0,7,-0.7621951219512195,0.3863020833333331,,,8,196.8,265.2,8,236.2,718.23,2,52,4424
6,14,00:32:26,58409,3,3,32,2,net shot,0.0,1,2.0,2,1.1024390243902435,-0.1927083333333333,,,7,124.4,579.04,8,187.0,290.97,2,52,4424
6,15,00:32:27,58432,3,3,31,2,lob,0.0,1,1.0,8,-0.7804878048780488,1.2778125000000002,,,7,237.9,386.35,8,160.5,595.47,2,52,4424
6,16,00:32:28,58468,3,3,32,2,smash,1.0,0,2.0,8,0.8499999999999999,-0.9059375,,,8,154.9,700.79,8,159.8,303.63,2,52,4424
6,17,00:32:29,58482,3,3,31,2,defensive shot,0.0,1,2.0,1,1.110975609756098,0.3240625000000001,,,8,140.0,286.26,8,133.6,735.78,2,52,4424
6,18,00:32:30,58514,3,3,32,2,push/rush,0.0,0,1.0,4,1.5402439024390244,-1.3849999999999998,,,7,233.2,569.67,8,206.2,305.77,2,52,4424
6,19,00:32:31,58548,3,3,31,2,clear,0.0,1,1.0,8,0.9231707317073168,1.429270833333333,,,4,266.5,201.4,8,212.0,621.28,2,52,4424
6,20,00:32:32,58583,3,3,32,2,clear,0.0,0,1.0,8,0.9085365853658536,-1.30828125,,,9,209.3,762.26,8,184.3,257.39,2,52,4424
6,21,00:32:33,58613,3,3,31,2,smash,0.0,0,2.0,8,-0.7804878048780488,0.83984375,,,8,228.8,216.0,8,208.8,698.5,2,52,4424
6,22,00:32:34,58629,3,3,32,2,defensive shot,0.0,1,2.0,8,0.8378048780487803,-0.5939062499999999,,,8,196.1,665.33,8,219.0,213.26,2,52,4424
6,23,00:32:35,58656,3,3,31,2,net shot,0.0,1,2.0,1,1.419512195121951,0.2707291666666667,,,8,186.0,341.8,8,137.4,624.09,2,52,4424
6,24,00:32:36,58686,3,3,32,2,lob,0.0,0,1.0,4,1.4134146341463412,-1.4603645833333332,,,1,262.1,549.01,8,214.7,332.24,2,52,4424
6,25,00:32:37,58731,3,3,31,2,clear,1.0,0,1.0,5,1.340243902439024,1.3614583333333332,,,4,264.1,177.99,8,216.4,619.88,2,52,4424
6,26,00:32:38,58768,3,3,32,3,smash,0.0,0,2.0,5,-1.4,-0.5645312499999999,opponent's ball landed,32.0,8,248.6,738.18,8,194.0,251.99,2,52,4424
6,1,00:52:34,94646,5,1,32,1,short service,0.0,1,2.0,7,-0.1573170731707317,0.4532291666666665,,,8,181.2,322.95,8,134.5,652.4,3,52,4451
6,2,00:52:35,94669,5,1,31,2,net shot,0.0,1,2.0,7,0.3219512195121952,-0.5104166666666666,,,7,179.3,565.07,8,180.5,320.55,3,52,4451
6,3,00:52:36,94691,5,1,32,2,lob,0.0,1,1.0,6,-1.0121951219512195,0.9993229166666668,,,8,183.9,341.81,8,176.5,605.66,3,52,4451
6,4,00:52:37,94713,5,1,31,2,smash,1.0,0,2.0,8,0.1268292682926829,-0.7754687499999999,,,8,171.8,644.49,8,156.4,313.46,3,52,4451
6,5,00:52:37,94722,5,1,32,2,defensive shot,0.0,1,2.0,7,-0.1109756097560974,0.3685937499999999,,,8,132.1,288.85,8,155.9,681.56,3,52,4451
6,6,00:52:38,94747,5,1,31,2,lob,0.0,0,1.0,5,-1.0292682926829269,-1.19984375,,,7,151.1,574.42,8,160.4,293.68,3,52,4451
6,7,00:52:39,94773,5,1,32,3,drop,0.0,0,2.0,10,-1.5304878048780488,0.4708333333333332,out,32.0,8,141.4,227.94,8,165.9,628.23,3,52,4451
