rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
24,1,00:22:59,41384,13,11,10,1,short service,0.0,1,2.0,8,0.5926829268292683,-0.5625,,,8,162.8,644.09,8,217.0,320.15,1,16,1307
24,2,00:23:00,41410,13,11,4,2,net shot,0.0,1,2.0,1,1.0536585365853657,0.4784375,,,7,206.0,368.08,8,197.9,656.45,1,16,1307
24,3,00:23:01,41440,13,11,10,2,net shot,0.0,0,2.0,2,1.2451219512195124,-0.2440104166666667,,,8,233.8,629.58,8,179.7,341.54,1,16,1307
24,4,00:23:02,41468,13,11,4,2,drop,0.0,1,1.0,5,1.2585365853658534,1.47,,,7,243.0,397.75,8,217.8,641.06,1,16,1307
24,5,00:23:03,41507,13,11,10,2,smash,0.0,0,2.0,5,-1.0914634146341464,-0.7918750000000001,,,3,252.1,784.72,8,183.8,322.98,1,16,1307
24,6,00:23:04,41527,13,11,4,2,lob,0.0,0,1.0,5,1.0621951219512198,1.1991145833333334,,,8,106.6,312.28,8,220.0,740.0,1,16,1307
24,7,00:23:05,41551,13,11,10,2,drop,0.0,0,1.0,2,1.1402439024390243,-0.4850520833333333,,,8,178.9,724.62,8,143.8,280.1,1,16,1307
24,8,00:23:05,41570,13,11,4,2,push/rush,0.0,1,2.0,8,0.2426829268292683,0.9724479166666667,,,7,240.2,376.4,8,239.9,707.36,1,16,1307
24,9,00:23:06,41582,13,11,10,2,defensive shot,0.0,1,1.0,8,0.676829268292683,-0.6214583333333333,,,8,214.1,684.47,7,222.0,385.25,1,16,1307
24,10,00:23:06,41596,13,11,4,2,push/rush,1.0,0,2.0,8,-0.4170731707317072,0.8338541666666668,,,8,185.6,339.17,8,201.8,664.6,1,16,1307
24,11,00:23:06,41606,13,11,10,2,defensive shot,0.0,1,1.0,8,-0.1353658536585365,-1.2434895833333333,,,8,210.9,690.95,8,183.1,332.3,1,16,1307
24,12,00:23:08,41640,13,11,4,2,smash,0.0,0,2.0,5,0.9841463414634144,1.1658333333333335,,,8,148.8,254.71,8,190.5,708.7,1,16,1307
24,13,00:23:08,41656,13,11,10,2,defensive shot,0.0,0,1.0,2,1.0731707317073171,-0.3509374999999999,,,8,193.0,730.59,8,140.9,270.13,1,16,1307
24,14,00:23:09,41682,13,11,4,2,net shot,0.0,1,2.0,1,1.2268292682926831,0.3917187500000001,,,7,232.9,397.87,5,253.9,694.7,1,16,1307
24,15,00:23:10,41707,13,11,10,2,net shot,0.0,0,1.0,8,-0.6609756097560976,-0.8694270833333334,,,5,293.6,660.22,7,217.2,378.85,1,16,1307
24,16,00:23:11,41735,13,11,4,2,push/rush,0.0,0,2.0,6,-1.1158536585365857,1.154635416666667,,,8,158.4,299.51,8,215.5,619.48,1,16,1307
24,17,00:23:11,41752,13,11,10,2,defensive shot,0.0,1,1.0,5,-1.2085365853658536,-1.348072916666667,,,8,133.1,705.07,5,94.7,358.46,1,16,1307
24,18,00:23:12,41789,13,11,4,2,smash,0.0,0,2.0,5,1.0621951219512198,0.9422395833333332,,,5,88.0,255.71,8,160.8,682.0,1,16,1307
24,19,00:23:13,41809,13,11,10,2,defensive shot,0.0,0,1.0,2,1.1,-0.3730208333333333,,,8,179.5,703.73,5,74.3,216.37,1,16,1307
24,20,00:23:14,41834,13,11,4,3,push/rush,0.0,1,2.0,4,-0.9670731707317072,1.6152604166666666,opponent's ball landed,10.0,7,230.8,372.15,5,276.3,686.91,1,16,1307
24,1,00:46:55,84477,12,12,10,1,short service,0.0,1,2.0,7,0.5499999999999999,0.5303645833333336,,,8,160.2,346.36,8,220.1,694.78,2,16,1343
24,2,00:46:56,84497,12,12,4,2,net shot,0.0,0,2.0,7,-0.151219512195122,-0.3777083333333332,,,8,203.6,610.66,7,162.4,377.36,2,16,1343
24,3,00:46:57,84521,12,12,10,2,push/rush,0.0,0,1.0,5,1.0353658536585364,1.45203125,,,7,160.7,390.27,8,184.4,634.1,2,16,1343
24,4,00:46:58,84552,12,12,4,2,drop,0.0,0,2.0,1,-1.0707317073170732,-0.3402083333333333,,,9,228.4,766.2,8,163.2,313.83,2,16,1343
24,5,00:46:59,84578,12,12,10,2,net shot,0.0,0,2.0,2,-1.0341463414634149,0.2564062500000001,,,1,94.7,391.06,8,196.7,734.15,2,16,1343
24,6,00:47:00,84605,12,12,4,2,net shot,0.0,1,2.0,1,-1.2573170731707315,-0.1592187499999999,,,2,100.2,575.94,7,124.2,375.67,2,16,1343
24,7,00:47:01,84631,12,12,10,2,lob,0.0,0,1.0,6,-1.053658536585366,1.458645833333333,,,1,83.3,434.32,8,132.7,602.02,2,16,1343
24,8,00:47:02,84674,12,12,4,2,smash,1.0,0,2.0,6,1.125609756097561,-1.0755729166666663,,,8,105.4,756.16,8,131.1,309.54,2,16,1343
24,9,00:47:03,84694,12,12,10,2,defensive shot,0.0,1,2.0,1,1.0280487804878051,0.4270833333333333,,,8,167.0,279.74,9,106.1,766.21,2,16,1343
24,10,00:47:04,84722,12,12,4,2,net shot,0.0,0,2.0,1,-1.197560975609756,-0.2856249999999998,,,8,231.8,607.53,8,217.8,315.42,2,16,1343
24,11,00:47:05,84751,12,12,10,2,lob,0.0,0,1.0,6,-1.0658536585365854,1.4824479166666666,,,1,95.9,391.05,8,174.6,641.24,2,16,1343
24,12,00:47:06,84783,12,12,4,2,smash,1.0,0,2.0,5,-1.1280487804878048,-0.9814583333333332,,,6,100.2,748.2,8,127.2,330.76,2,16,1343
