rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
22,1,00:18:26,33204,10,12,5,1,short service,0.0,1,2.0,7,-0.0548780487804878,0.4793749999999998,,,8,184.2,336.2,8,119.1,695.93,1,19,1517
22,2,00:18:27,33224,10,12,10,2,net shot,0.0,0,2.0,7,-0.2426829268292683,-0.2530208333333332,,,8,132.8,607.37,8,173.9,361.03,1,19,1517
22,3,00:18:28,33244,10,12,5,2,net shot,0.0,0,2.0,7,0.1841463414634145,0.3229166666666667,,,7,151.4,391.35,8,154.7,616.43,1,19,1517
22,4,00:18:28,33268,10,12,10,2,lob,0.0,0,1.0,3,-0.975609756097561,-1.4063020833333333,,,7,197.8,590.97,7,158.6,387.11,1,19,1517
22,5,00:18:30,33308,10,12,5,3,smash,0.0,0,2.0,6,-0.9109756097560976,1.124375,opponent's ball landed,10.0,8,118.7,224.3,8,189.5,700.21,1,19,1517
22,1,00:42:34,76642,14,8,10,1,short service,0.0,1,2.0,7,-0.4804878048780489,0.5622395833333336,,,8,186.4,324.61,8,141.1,673.9,2,19,1557
22,2,00:42:35,76666,14,8,5,3,lob,0.0,0,2.0,10,1.65,-1.68828125,out,10.0,8,132.6,601.33,8,178.7,317.53,2,19,1557
22,1,01:02:59,113390,10,12,5,1,short service,0.0,1,2.0,7,-0.3499999999999998,-0.5065104166666666,,,8,180.1,628.29,8,131.7,286.0,3,19,1589
22,2,01:03:00,113413,10,12,10,2,lob,0.0,1,1.0,6,-1.0353658536585366,1.33390625,,,7,130.1,369.69,8,172.4,612.08,3,19,1589
22,3,01:03:01,113444,10,12,5,2,drop,1.0,0,2.0,8,0.6536585365853658,-0.7166145833333332,,,8,143.8,728.3,8,152.9,276.14,3,19,1589
22,4,01:03:02,113466,10,12,10,2,net shot,0.0,1,2.0,7,0.7560975609756098,0.4036979166666666,,,8,189.9,322.28,8,133.3,716.08,3,19,1589
22,5,01:03:03,113491,10,12,5,2,net shot,0.0,0,2.0,7,0.3890243902439025,-0.5167708333333335,,,7,218.6,581.73,8,201.4,300.87,3,19,1589
22,6,01:03:03,113510,10,12,10,2,lob,0.0,1,1.0,8,-0.6695121951219513,1.3849999999999998,,,7,183.9,387.21,8,195.2,610.72,3,19,1589
22,7,01:03:04,113543,10,12,5,2,smash,1.0,0,2.0,5,-1.0048780487804878,-0.995,,,8,157.2,724.78,8,160.9,278.66,3,19,1589
22,8,01:03:05,113560,10,12,10,2,defensive shot,0.0,0,2.0,2,-1.0890243902439023,0.6343229166666665,,,8,118.5,278.53,8,156.2,727.18,3,19,1589
22,9,01:03:06,113588,10,12,5,3,lob,0.0,1,2.0,10,-0.7182926829268294,-1.8479166666666669,out,10.0,8,106.6,605.71,8,154.1,305.54,3,19,1589
