rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
17,1,00:21:44,39127,13,4,11,1,short service,0.0,1,2.0,7,0.123170731707317,0.5726041666666669,,,8,163.7,340.57,8,217.2,689.53,1,11,879
17,2,00:21:44,39148,13,4,10,2,push/rush,0.0,1,1.0,4,1.2036585365853658,-1.4195833333333334,,,8,214.3,615.62,8,164.8,328.98,1,11,879
17,3,00:21:46,39181,13,4,11,2,drop,1.0,0,2.0,1,1.065853658536585,0.4203125000000002,,,8,209.3,229.23,8,208.2,682.43,1,11,879
17,4,00:21:46,39204,13,4,10,2,net shot,0.0,0,2.0,7,0.2170731707317074,-0.4709895833333333,,,8,241.5,633.05,8,208.8,225.97,1,11,879
17,5,00:21:47,39228,13,4,11,2,net shot,0.0,0,2.0,1,1.1073170731707318,0.3035416666666665,,,7,212.3,389.84,8,210.0,648.91,1,11,879
17,6,00:21:48,39252,13,4,10,2,push/rush,0.0,0,1.0,5,-0.9573170731707316,-1.3633854166666666,,,7,226.4,588.92,8,198.3,351.32,1,11,879
17,7,00:21:49,39287,13,4,11,2,drive,0.0,0,2.0,6,-1.0451219512195122,1.063125,,,8,105.5,228.26,8,195.8,651.0,1,11,879
17,8,00:21:50,39301,13,4,10,2,defensive shot,0.0,1,2.0,1,-0.9621951219512196,-0.5190104166666666,,,8,187.8,695.26,8,123.0,256.88,1,11,879
17,9,00:21:50,39322,13,4,11,2,drive,0.0,0,2.0,6,-0.9670731707317072,0.9254687500000004,,,8,110.2,364.29,8,160.8,679.39,1,11,879
17,10,00:21:51,39335,13,4,10,2,defensive shot,0.0,1,2.0,1,-1.1121951219512196,-0.5033333333333333,,,8,180.2,668.11,8,111.5,353.01,1,11,879
17,11,00:21:52,39360,13,4,11,2,net shot,0.0,0,2.0,2,-1.1341463414634143,0.3421875000000002,,,5,99.2,347.57,8,161.6,666.49,1,11,879
17,12,00:21:52,39389,13,4,10,2,push/rush,0.0,1,1.0,5,-1.4060975609756097,-1.306875,,,2,99.2,586.6,8,134.3,320.8,1,11,879
17,13,00:21:54,39420,13,4,11,3,clear,0.0,0,2.0,10,-1.3329268292682928,1.8711979166666663,out,10.0,5,87.8,218.77,8,147.8,674.06,1,11,879
17,1,0:46:45,84161,11,6,10,1,short service,0.0,1,2.0,7,-0.2195121951219512,0.4516145833333335,,,8,184.6,328.58,8,129.1,655.67,2,11,910
17,2,0:46:46,84180,11,6,11,2,net shot,0.0,1,2.0,2,1.052439024390244,-0.0941666666666665,,,7,164.8,585.64,8,172.4,322.97,2,11,910
17,3,0:46:46,84205,11,6,10,2,lob,0.0,1,1.0,9,-0.8390243902439024,1.6028125,,,7,238.3,386.64,8,195.5,607.83,2,11,910
17,4,0:46:48,84248,11,6,11,2,clear,1.0,0,1.0,4,1.3731707317073174,-1.4746875,,,8,134.0,750.43,8,160.9,281.09,2,11,910
17,5,0:46:49,84294,11,6,10,2,drop,0.0,0,2.0,8,0.3890243902439025,0.6902083333333332,,,9,242.1,178.01,8,211.7,656.48,2,11,910
17,6,0:46:50,84312,11,6,11,2,net shot,0.0,0,2.0,1,-0.952439024390244,-0.2523437499999999,,,8,214.2,633.42,8,245.2,211.92,2,11,910
17,7,0:46:51,84338,11,6,10,2,net shot,0.0,0,2.0,2,-1.1121951219512196,0.271145833333333,,,8,108.5,350.23,8,178.9,633.9,2,11,910
17,8,0:46:52,84362,11,6,11,2,net shot,0.0,1,2.0,1,-1.226829268292683,-0.0253645833333333,,,7,105.9,582.32,8,117.6,312.27,2,11,910
17,9,0:46:52,84389,11,6,10,2,lob,0.0,0,1.0,4,-1.1109756097560974,1.5629687500000002,,,1,69.6,370.63,7,135.8,590.23,2,11,910
17,10,0:46:54,84431,11,6,11,2,drop,0.0,0,2.0,8,-0.7573170731707316,-0.63828125,,,4,100.9,771.65,8,129.0,275.58,2,11,910
17,11,0:46:55,84450,11,6,10,2,net shot,0.0,0,2.0,7,0.3817073170731708,0.4929687499999999,,,8,122.9,294.13,9,112.8,761.98,2,11,910
17,12,0:46:55,84472,11,6,11,2,drive,0.0,0,2.0,8,0.0109756097560976,-0.7505208333333334,,,8,194.2,597.65,8,154.2,275.04,2,11,910
17,13,0:46:56,84487,11,6,10,2,defensive shot,0.0,1,2.0,7,-0.7914634146341464,0.4553124999999998,,,8,135.9,314.86,8,186.6,625.95,2,11,910
17,14,0:46:57,84511,11,6,11,2,net shot,0.0,1,2.0,7,0.2073170731707317,-0.1009374999999999,,,8,145.4,602.45,8,161.2,314.35,2,11,910
17,15,0:46:57,84536,11,6,10,2,lob,0.0,1,1.0,4,-0.9670731707317072,1.58703125,,,7,178.6,376.84,8,161.6,612.35,2,11,910
17,16,0:46:59,84575,11,6,11,3,clear,1.0,0,2.0,3,-0.9475609756097562,-1.5784375,misjudged,10.0,8,133.6,748.8,8,153.5,311.54,2,11,910
