rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
29,1,00:24:37,44322,20,9,10,1,long service,0.0,1,1.0,5,-0.9317073170731708,-1.3693749999999998,,,8,183.6,621.87,8,130.2,283.9,1,55,4670
29,2,00:24:38,44354,20,9,24,2,clear,1.0,0,1.0,3,1.5085365853658534,1.5344791666666666,,,9,143.0,201.38,8,183.9,658.04,1,55,4670
29,3,00:24:39,44394,20,9,10,2,drop,0.0,0,2.0,5,-0.8829268292682928,-0.5796354166666667,,,3,285.9,770.64,8,175.3,250.5,1,55,4670
29,4,00:24:40,44420,20,9,24,2,net shot,0.0,1,2.0,2,-1.1158536585365857,0.3511979166666664,,,8,117.5,330.23,8,212.4,682.86,1,55,4670
29,5,00:24:41,44447,20,9,10,2,lob,0.0,1,1.0,5,-1.078048780487805,-1.34046875,,,7,111.2,578.01,8,144.5,306.29,1,55,4670
29,6,00:24:42,44480,20,9,24,2,drop,0.0,1,2.0,2,-0.9817073170731708,0.6358333333333336,,,8,104.4,212.45,8,160.9,643.71,1,55,4670
29,7,00:24:43,44502,20,9,10,2,net shot,0.0,1,2.0,1,-1.1865853658536585,-0.1449999999999998,,,8,120.8,631.85,8,151.1,271.24,1,55,4670
29,8,00:24:44,44531,20,9,24,2,lob,0.0,1,1.0,6,-1.0414634146341464,1.1752083333333332,,,1,97.3,384.7,8,139.8,634.89,1,55,4670
29,9,00:24:45,44556,20,9,10,2,smash,1.0,0,2.0,5,-1.4036585365853658,-1.034375,,,8,132.6,678.31,8,137.8,325.56,1,55,4670
29,10,00:24:45,44569,20,9,24,2,defensive shot,0.0,1,2.0,2,-0.9134146341463416,0.3786458333333335,,,8,169.5,291.55,8,155.0,706.03,1,55,4670
29,11,00:24:46,44597,20,9,10,2,lob,0.0,1,1.0,4,1.048780487804878,-1.4709374999999998,,,7,122.6,584.48,8,141.4,296.43,1,55,4670
29,12,00:24:47,44631,20,9,24,2,smash,0.0,0,2.0,6,-1.2646341463414634,0.7875000000000002,,,9,232.7,170.0,8,203.0,653.94,1,55,4670
29,13,00:24:48,44651,20,9,10,2,push/rush,0.0,1,2.0,5,-1.369512195121951,-1.25484375,,,8,181.7,656.62,4,266.2,175.91,1,55,4670
29,14,00:24:49,44679,20,9,24,2,drop,0.0,1,2.0,6,-1.1670731707317072,0.7642187500000001,,,8,141.3,226.28,8,126.7,627.47,1,55,4670
29,15,00:24:49,44699,20,9,10,2,lob,0.0,1,1.0,5,-0.945121951219512,-1.3258854166666667,,,8,161.4,635.02,8,150.0,247.79,1,55,4670
29,16,00:24:50,44726,20,9,24,2,smash,1.0,0,2.0,5,0.9804878048780488,0.7696354166666666,,,8,128.4,226.25,8,165.3,639.41,1,55,4670
29,17,00:24:51,44743,20,9,10,3,defensive shot,0.0,0,2.0,1,1.2317073170731707,0.0930208333333334,touched the net,10.0,8,199.5,663.71,8,130.6,223.53,1,55,4670
29,1,00:44:54,80826,20,9,24,1,short service,0.0,1,2.0,7,-0.1707317073170731,-0.4616145833333333,,,8,180.8,621.85,8,130.1,281.37,2,55,4700
29,2,00:44:54,80844,20,9,10,2,lob,0.0,1,1.0,4,-1.2317073170731707,1.5260416666666667,,,7,125.9,367.11,8,171.9,630.69,2,55,4700
29,3,00:44:56,80885,20,9,24,2,drop,0.0,0,2.0,5,-1.298780487804878,-0.7379166666666667,,,4,86.9,783.64,8,138.1,278.86,2,55,4700
29,4,00:44:56,80907,20,9,10,2,net shot,0.0,0,2.0,2,-1.2121951219512197,0.3419791666666665,,,5,102.6,313.44,8,147.6,719.86,2,55,4700
29,5,00:44:57,80933,20,9,24,2,net shot,0.0,0,2.0,7,-0.302439024390244,-0.2282812499999999,,,7,114.5,586.02,8,132.7,296.4,2,55,4700
29,6,00:44:58,80954,20,9,10,2,lob,0.0,0,1.0,6,-1.0414634146341464,1.3019270833333334,,,7,155.6,382.75,8,142.3,608.01,2,55,4700
29,7,00:44:59,80990,20,9,24,2,smash,0.0,0,2.0,5,-1.2878048780487803,-1.0881770833333333,,,8,125.2,733.22,8,142.2,266.07,2,55,4700
29,8,00:45:00,81004,20,9,10,2,defensive shot,0.0,0,2.0,2,-1.2829268292682927,0.5685416666666665,,,8,117.7,260.81,4,76.7,791.16,2,55,4700
29,9,00:45:01,81035,20,9,24,2,net shot,0.0,0,2.0,1,-1.2365853658536583,-0.29515625,,,8,111.1,616.94,8,115.7,268.57,2,55,4700
29,10,00:45:02,81061,20,9,10,2,lob,0.0,0,1.0,6,-1.123170731707317,1.391354166666667,,,1,90.3,369.21,8,136.3,631.95,2,55,4700
29,11,00:45:03,81098,20,9,24,2,drop,0.0,0,2.0,8,-0.0560975609756096,-0.6141145833333335,,,4,102.9,759.06,8,131.4,276.3,2,55,4700
29,12,00:45:03,81119,20,9,10,2,net shot,0.0,0,2.0,1,1.0048780487804876,0.3105208333333333,,,8,196.6,320.99,8,138.2,730.88,2,55,4700
29,13,00:45:04,81145,20,9,24,2,net shot,0.0,1,2.0,2,1.4463414634146343,-0.1610416666666667,,,7,231.8,589.87,8,195.6,294.12,2,55,4700
29,14,00:45:05,81174,20,9,10,3,lob,0.0,1,2.0,4,-1.0,1.7826041666666663,out,10.0,2,258.9,404.77,7,217.6,581.82,2,55,4700
